Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
149.154.175.58 10.0.2.16 443 33018,1132755892,1132763412,1132763449,1132763454,1132763472,1132763482,,,443,0x7193,4,17,5,10,,7406,7423
149.154.167.151 10.0.2.16 443 33572,1132766674,1132771587,1132771657,1132771663,1132771681,1132771690,,,443,0x1b62,4,44,6,9,,4787,4831
149.154.175.53 10.0.2.16 443 54740,1132837318,1132847614,1132847685,1132847692,1132847710,1132847721,,,443,0x3535,4,73,7,11,,10232,10305
149.154.167.151 10.0.2.16 443 57344,1132850725,1132855821,1132855891,1132855899,1132855917,1132855926,,,443,0x792a,4,108,8,9,,5007,5115
10.0.2.16 149.154.167.151 57344 443,1132851047,1132856194,1132856217,1132856220,1132856238,1132856246,,,57344,0x18f3,4,45,3,8,,5060,5105
149.154.175.58 10.0.2.16 443 36362,1132860069,1132865439,1132865510,1132865515,1132865533,1132865538,,,443,0x60ca,4,74,5,5,,5295,5369
149.154.167.151 10.0.2.16 443 57960,1132870415,1132875250,1132875262,1132875268,1132875286,1132875292,,,443,0x6f63,4,113,6,6,,4793,4906
10.0.2.16 149.154.167.151 57960 443,1132869949,1132875667,1132875737,1132875743,1132875761,1132875769,,,57960,0x6274,4,62,6,8,,5615,5677
149.154.175.58 10.0.2.16 443 45056,1132903880,1132909278,1132909350,1132909363,1132909383,1132909397,,,443,0x650a,4,47,13,14,,5319,5366
10.0.2.16 149.154.175.58 45056 443,1132904234,1132909781,1132909840,1132909846,1132909864,1132909873,,,45056,0x109e,4,63,6,9,,5457,5520
10.0.2.16 149.154.175.53 45506 443,1133181577,1133187066,1133187106,1133187113,1133187131,1133187142,,,45506,0x3667,4,83,7,11,,5190,5273
149.154.175.58 10.0.2.16 443 34480,1133203429,1133232176,1133232246,1133232252,1133232270,1133232278,,,443,0x2329,4,58,6,8,,28294,28352
149.154.167.151 10.0.2.16 443 50332,1133240032,1133244592,1133244663,1133244670,1133244687,1133244698,,,443,0x49f7,4,32,7,11,,4437,4469
149.154.175.58 10.0.2.16 443 38404,1133380783,1133385798,1133385871,1133385886,1133385905,1133385922,,,443,0x6de0,4,9,15,17,,4925,4934
10.0.2.16 149.154.175.53 57070 443,1133378303,1133397993,1133398011,1133398016,1133398034,1133398043,,,57070,0x5198,4,16,5,9,,19494,19510
149.154.175.53 10.0.2.16 443 57070,1133378616,1133398420,1133398490,1133398494,1133398512,1133398522,,,443,0x7fdb,4,24,4,10,,19489,19513
10.0.2.16 149.154.167.151 55354 443,1133400178,1133405946,1133406016,1133406022,1133406039,1133406049,,,55354,0x4579,4,37,6,10,,5655,5692
10.0.2.16 149.154.167.151 43584 443,1133425380,1133431090,1133431128,1133431132,1133431149,1133431153,,,43584,0x2b05,4,27,4,4,,5649,5676
149.154.167.151 10.0.2.16 443 47808,1133651711,1133656506,1133656517,1133656524,1133656542,1133656552,,,443,0x373c,4,49,7,10,,4730,4779
10.0.2.16 149.154.167.151 47808 443,1133651307,1133656923,1133656993,1133656999,1133657017,1133657023,,,47808,0x1fb0,4,21,6,6,,5494,5515
149.154.175.58 10.0.2.16 443 39774,1133844073,1133932251,1133932275,1133932281,1133932299,1133932309,,,443,0x65e0,4,15,6,10,,86971,86986
149.154.175.58 10.0.2.16 443 54460,1134154873,1134165721,1134165791,1134165798,1134165816,1134165822,,,443,0x2b69,4,100,7,6,,10638,10738
149.154.175.53 10.0.2.16 443 49720,1134167134,1134173317,1134173346,1134173350,1134173368,1134173378,,,443,0x6b2a,4,31,4,10,,6099,6130
149.154.175.58 10.0.2.16 443 46644,1134317317,1134322827,1134322899,1134322909,1134322929,1134322945,,,443,0x71bd,4,30,10,16,,5478,5508
10.0.2.16 149.154.175.58 46644 443,1134316859,1134323230,1134323233,1134323238,1134323256,1134323263,,,46644,0x72cc,4,94,5,7,,6293,6387
