Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
31.13.80.48 10.0.2.16 5222 50930,2871107641,2871107731,2871107810,2871107815,2871107833,2871107839,,,5222,0x47a8,2,14,5,6,,2697,2711
10.0.2.16 31.13.80.48 47200 443,2871235677,2871235707,2871235746,2871235752,2871235771,2871235778,,,47200,0x5c3c,2,24,6,7,,4568,4592
10.0.2.16 31.13.80.48 39674 5222,2871236659,2871236676,2871236739,2871236743,2871236760,2871236765,,,39674,0x695c,2,30,4,5,,3762,3792
31.13.80.48 10.0.2.16 5222 39674,2871237490,2871237493,2871237578,2871237582,2871237601,2871237607,,,5222,0x1113,2,75,4,6,,3367,3442
10.0.2.16 31.13.80.48 38074 5222,2871239111,2871242423,2871242464,2871242467,2871242486,2871242490,,,38074,0x7e69,2,69,3,4,,2768,2837
31.13.80.48 10.0.2.16 5222 47382,2871424184,2871424193,2871424261,2871424265,2871424284,2871424288,,,5222,0x11a2,2,71,4,4,,3363,3434
10.0.2.16 31.13.80.48 49884 5222,2871478159,2871478189,2871478195,2871478202,2871478220,2871478230,,,49884,0x2c33,2,35,7,10,,3682,3717
31.13.80.48 10.0.2.16 5222 41658,2871517067,2871517070,2871517149,2871517152,2871517170,2871517174,,,5222,0x4669,2,25,3,4,,4317,4342
31.13.80.48 10.0.2.16 443 52768,2871519926,2871519957,2871519990,2871519993,2871520011,2871520014,,,443,0x7653,2,75,3,3,,3377,3452
10.0.2.16 31.13.80.48 52770 5222,2871637676,2871637768,2871637849,2871637855,2871637874,2871637880,,,52770,0x7416,2,37,6,6,,6373,6410
31.13.80.48 10.0.2.16 443 51832,2871653570,2871653574,2871653655,2871653659,2871653678,2871653682,,,443,0x1571,2,26,4,4,,3432,3458
31.13.80.48 10.0.2.16 443 58298,2871654155,2871654246,2871654317,2871654325,2871654343,2871654349,,,443,0x4c70,2,61,8,6,,3506,3567
31.13.80.48 10.0.2.16 443 51330,2871720601,2871720712,2871720793,2871720799,2871720818,2871720822,,,443,0x38ae,2,31,6,4,,4202,4233
10.0.2.16 31.13.80.53 60418 443,2871726118,2871726436,2871726508,2871726512,2871726530,2871726536,,,60418,0x12d2,2,30,4,6,,2475,2505
31.13.80.48 10.0.2.16 5222 42086,2871784318,2871784321,2871784400,2871784407,2871784425,2871784433,,,5222,0x4e99,2,30,7,8,,3446,3476
10.0.2.16 31.13.80.48 57224 443,2871864437,2871864467,2871864517,2871864523,2871864541,2871864546,,,57224,0x222d,2,36,6,5,,2639,2675
31.13.80.48 10.0.2.16 443 57224,2871867762,2871867766,2871867846,2871867854,2871867872,2871867880,,,443,0x687c,2,52,8,8,,2255,2307
10.0.2.16 31.13.80.48 36930 443,2871928802,2871928805,2871928884,2871928889,2871928908,2871928914,,,36930,0x2ee7,2,97,5,6,,6295,6392
10.0.2.16 31.13.80.48 56582 5222,2871929324,2871929353,2871929381,2871929385,2871929404,2871929410,,,56582,0x6c97,2,102,4,6,,3815,3917
31.13.80.48 10.0.2.16 5222 56582,2871931207,2871931210,2871931290,2871931294,2871931312,2871931316,,,5222,0x645e,2,0,4,4,,3445,3445
31.13.80.48 10.0.2.16 5222 35164,2871931547,2871936091,2871936163,2871936168,2871936187,2871936194,,,5222,0x6d41,2,27,5,7,,5171,5198
10.0.2.16 31.13.80.48 35164 5222,2871976210,2871976243,2871976292,2871976297,2871976316,2871976320,,,35164,0x1b63,2,40,5,4,,4762,4802
10.0.2.16 31.13.80.48 33654 5222,2871976858,2871976862,2871976939,2871976942,2871976960,2871976963,,,33654,0x2347,2,51,3,3,,2607,2658
10.0.2.16 31.13.80.48 58306 443,2871982410,2871987546,2871987590,2871987594,2871987612,2871987617,,,58306,0x21ec,2,30,4,5,,4614,4644
31.13.80.48 10.0.2.16 443 58306,2872024193,2872024219,2872024237,2872024240,2872024258,2872024263,,,443,0x5b4f,2,6,3,5,,4215,4221
10.0.2.16 31.13.80.48 54794 443,2872024496,2872024499,2872024572,2872024575,2872024593,2872024596,,,54794,0x6428,2,29,3,3,,4376,4405
31.13.80.48 10.0.2.16 443 54794,2872031381,2872031392,2872031463,2872031466,2872031484,2872031488,,,443,0x79a7,2,74,3,4,,3373,3447
10.0.2.16 31.13.80.48 55132 5222,2872074305,2872074337,2872074378,2872074383,2872074402,2872074408,,,55132,0x2ee2,2,106,5,6,,5361,5467
10.0.2.16 31.13.80.48 57192 443,2872074644,2872074660,2872074724,2872074728,2872074746,2872074750,,,57192,0x207e,2,99,4,4,,3799,3898
31.13.80.48 10.0.2.16 443 57192,2872075289,2872075295,2872075370,2872075373,2872075391,2872075394,,,443,0x3783,2,25,3,3,,3413,3438
10.0.2.16 31.13.80.48 58124 443,2872165361,2872165365,2872165441,2872165444,2872165462,2872165467,,,58124,0x46a0,2,89,3,5,,2832,2921
31.13.80.48 10.0.2.16 443 58124,2872165872,2872165876,2872165954,2872165960,2872165979,2872165985,,,443,0x7538,2,37,6,6,,2430,2467
31.13.80.48 10.0.2.16 443 33322,2872166535,2872173703,2872173776,2872173779,2872173797,2872173803,,,443,0x5769,2,93,3,6,,6625,6718
10.0.2.16 31.13.80.48 33322 443,2872245261,2872245356,2872245437,2872245442,2872245460,2872245465,,,33322,0x29ea,2,20,5,5,,6227,6247
10.0.2.16 31.13.80.48 58406 443,2872246017,2872246043,2872246097,2872246100,2872246118,2872246121,,,58406,0x7625,2,0,3,3,,4876,4876
31.13.80.48 10.0.2.16 443 33634,2872300283,2872300391,2872300470,2872300476,2872300494,2872300500,,,443,0x51d6,2,105,6,6,,2349,2454
31.13.80.48 10.0.2.16 443 47092,2872301693,2872301697,2872301776,2872301781,2872301799,2872301803,,,443,0x5532,2,126,5,4,,2340,2466
31.13.80.48 10.0.2.16 5222 53618,2872339980,2872340013,2872340038,2872340044,2872340062,2872340070,,,5222,0x1ed5,2,70,6,8,,4930,5000
10.0.2.16 31.13.80.48 53618 5222,2872342953,2872342976,2872343036,2872343041,2872343059,2872343065,,,53618,0x3dea,2,105,5,6,,4565,4670
10.0.2.16 31.13.80.48 45928 443,2872434311,2872434316,2872434389,2872434392,2872434410,2872434413,,,45928,0x416c,2,11,3,3,,4699,4710
10.0.2.16 31.13.80.48 37852 443,2872435941,2872439224,2872439296,2872439299,2872439317,2872439321,,,37852,0x6702,2,26,3,4,,2786,2812
31.13.80.48 10.0.2.16 443 37852,2872545837,2872545850,2872545922,2872545929,2872545948,2872545956,,,443,0x6c49,2,1,7,8,,2403,2404
10.0.2.16 31.13.80.48 57562 443,2872547202,2872547302,2872547382,2872547387,2872547405,2872547411,,,57562,0x3344,2,13,5,6,,2797,2810
31.13.80.48 10.0.2.16 443 57562,2872547817,2872547844,2872547894,2872547899,2872547917,2872547922,,,443,0x1a82,2,97,5,5,,2404,2501
10.0.2.16 31.13.80.48 47926 443,2872590032,2872590083,2872590116,2872590124,2872590142,2872590150,,,47926,0x60e7,2,32,8,8,,5471,5503
10.0.2.16 31.13.80.48 36186 5222,2872590535,2872590538,2872590617,2872590622,2872590640,2872590644,,,36186,0x2d0b,2,36,5,4,,4636,4672
31.13.80.48 10.0.2.16 5222 36186,2872590715,2872590727,2872590794,2872590797,2872590815,2872590820,,,5222,0x2b6c,2,14,3,5,,4216,4230
10.0.2.16 31.13.80.48 51828 5222,2872653000,2872653007,2872653082,2872653085,2872653103,2872653106,,,51828,0x2ca4,2,32,3,3,,2742,2774
31.13.80.48 10.0.2.16 5222 51828,2872653341,2872653348,2872653419,2872653423,2872653440,2872653444,,,5222,0x23b3,2,32,4,4,,2339,2371
10.0.2.16 31.13.80.48 52142 5222,2872656494,2872661656,2872661720,2872661725,2872661744,2872661752,,,52142,0x5958,2,11,5,8,,4678,4689
31.13.80.48 10.0.2.16 5222 52142,2872784691,2872784699,2872784776,2872784783,2872784802,2872784809,,,5222,0x1e9a,2,34,7,7,,4211,4245
10.0.2.16 31.13.80.48 41022 5222,2872785391,2872785422,2872785455,2872785461,2872785479,2872785485,,,41022,0x2421,2,28,6,6,,3885,3913
10.0.2.16 31.13.80.48 51372 5222,2872832016,2872832045,2872832097,2872832100,2872832119,2872832124,,,51372,0x3aaa,2,115,3,5,,3289,3404
10.0.2.16 31.13.80.48 49686 5222,2872834254,2872839515,2872839524,2872839537,2872839557,2872839565,,,49686,0x7a8c,2,48,13,8,,4788,4836
31.13.80.48 10.0.2.16 5222 49686,2872968865,2872968882,2872968950,2872968958,2872968977,2872968987,,,5222,0x6e94,2,16,8,10,,4372,4388
10.0.2.16 31.13.80.48 36900 443,2872969720,2872969723,2872969803,2872969807,2872969826,2872969831,,,36900,0x77f9,2,57,4,5,,3870,3927
31.13.80.48 10.0.2.16 443 36900,2872971660,2872971690,2872971722,2872971726,2872971744,2872971747,,,443,0x727b,2,31,4,3,,3471,3502
10.0.2.16 31.13.80.48 48256 443,2873067626,2873067629,2873067706,2873067711,2873067729,2873067734,,,48256,0x7a75,2,2,5,5,,2692,2694
31.13.80.48 10.0.2.16 443 48256,2873068140,2873068171,2873068215,2873068219,2873068237,2873068243,,,443,0x4b52,2,28,4,6,,2313,2341
31.13.80.48 10.0.2.16 5222 36362,2873127780,2873127815,2873127857,2873127860,2873127879,2873127883,,,5222,0x6f1d,2,26,3,4,,4211,4237
10.0.2.16 31.13.80.48 50584 5222,2873128148,2873128180,2873128198,2873128201,2873128219,2873128223,,,50584,0x264e,2,33,3,4,,3864,3897
31.13.80.48 10.0.2.16 5222 50584,2873129552,2873129555,2873129632,2873129636,2873129654,2873129658,,,5222,0x620c,2,24,4,4,,3454,3478
31.13.80.48 10.0.2.16 5222 54104,2873130358,2873137381,2873137453,2873137459,2873137477,2873137487,,,5222,0x7e76,2,60,6,10,,6495,6555
10.0.2.16 31.13.80.48 54104 5222,2873173716,2873173742,2873173796,2873173800,2873173819,2873173824,,,54104,0x3b0b,2,28,4,5,,6091,6119
10.0.2.16 31.13.80.48 35036 443,2873174239,2873174264,2873174289,2873174292,2873174310,2873174314,,,35036,0x643e,2,21,3,4,,2949,2970
31.13.80.48 10.0.2.16 443 39244,2873175574,2873179785,2873179813,2873179819,2873179838,2873179846,,,443,0x4f09,2,48,6,8,,3673,3721
10.0.2.16 31.13.80.48 39244 443,2873206876,2873206907,2873206952,2873206955,2873206973,2873206979,,,39244,0x73c8,2,23,3,6,,3246,3269
31.13.80.48 10.0.2.16 443 47298,2873320519,2873320522,2873320602,2873320607,2873320626,2873320632,,,443,0x2aa7,2,31,5,6,,4525,4556
10.0.2.16 31.13.80.48 59682 443,2873321411,2873321508,2873321591,2873321596,2873321614,2873321619,,,59682,0x4f77,2,60,5,5,,4003,4063
31.13.80.48 10.0.2.16 443 59682,2873322537,2873322566,2873322570,2873322575,2873322593,2873322596,,,443,0x2c88,2,27,5,3,,3596,3623
31.13.80.48 10.0.2.16 443 34510,2873327295,2873334564,2873334637,2873334647,2873334666,2873334674,,,443,0x7e55,2,48,10,8,,6662,6710
10.0.2.16 31.13.80.48 34510 443,2873374064,2873374069,2873374144,2873374149,2873374168,2873374171,,,34510,0x3e50,2,9,5,3,,6264,6273
10.0.2.16 31.13.80.48 48974 5222,2873374600,2873374631,2873374637,2873374641,2873374658,2873374662,,,48974,0x7956,2,32,4,4,,2973,3005
31.13.80.48 10.0.2.16 443 57164,2873376166,2873384592,2873384664,2873384667,2873384685,2873384691,,,443,0x355d,2,28,3,6,,7965,7993
31.13.80.48 10.0.2.16 443 52832,2873415372,2873422090,2873422163,2873422168,2873422187,2873422193,,,443,0x3057,2,19,5,6,,6202,6221
10.0.2.16 31.13.80.48 52832 443,2873442759,2873442849,2873442926,2873442930,2873442949,2873442954,,,52832,0x2c6c,2,27,4,5,,5765,5792
