Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
13.248.212.111 10.0.2.16 443 45740,696017255,696034962,696035014,696035018,696035037,696035045,,,443,0x571e,3,2,4,8,,17442,17444,,,,,,
13.248.212.111 10.0.2.16 443 40522,696181035,696194082,696194156,696194167,696194186,696194199,,,443,0x18dd,3,46,11,13,,12895,12941,,,,,,
13.248.212.111 10.0.2.16 443 56518,696183766,696201504,696201576,696201580,696201598,696201604,,,443,0x2d0b,3,17,4,6,,17432,17449,,,,,,
13.248.212.111 10.0.2.16 443 56530,696182765,696202479,696202532,696202536,696202554,696202557,,,443,0x3d56,3,58,4,3,,19518,19576,,,,,,
76.223.92.165 10.0.2.16 443 56938,696191151,696205828,696205844,696205847,696205865,696205871,,,443,0x6055,3,33,3,6,,14474,14507,,,,,,
13.248.212.111 10.0.2.16 443 41192,696287166,696300308,696300336,696300339,696300357,696300363,,,443,0x475e,3,14,3,6,,13019,13033,,,,,,
13.248.212.111 10.0.2.16 443 41202,696286063,696302947,696303018,696303021,696303039,696303043,,,443,0x4589,3,8,3,4,,16662,16670,,,,,,
10.0.2.16 13.248.212.111 41202 443,696285617,696303306,696303339,696303341,696303359,696303364,,,41202,0x64e6,3,38,2,5,,17438,17476,,,,,,
10.0.2.16 13.248.212.111 41192 443,696287482,696316194,696316266,696316272,696316290,696316299,,,41192,0x15bc,3,58,6,9,,28221,28279,,,,,,
13.248.212.111 10.0.2.16 443 59954,696328150,696340636,696340647,696340652,696340671,696340677,,,443,0x4cf0,3,16,5,6,,12335,12351,,,,,,
10.0.2.16 13.248.212.111 57218 443,696325789,696341379,696341451,696341454,696341471,696341476,,,57218,0x425c,3,161,3,5,,15427,15588,,,,,,
13.248.212.111 10.0.2.16 443 57218,696325345,696341736,696341771,696341775,696341793,696341797,,,443,0x7927,3,34,4,4,,16185,16219,,,,,,
13.248.212.111 10.0.2.16 443 57232,696330668,696347719,696347743,696347746,696347763,696347768,,,443,0x3848,3,78,3,5,,16841,16919,,,,,,
13.248.212.111 10.0.2.16 443 59946,696337427,696352268,696352299,696352301,696352320,696352324,,,443,0x7ec9,3,26,2,4,,14667,14693,,,,,,
10.0.2.16 13.248.212.111 59946 443,696337900,696354757,696354829,696354834,696354852,696354859,,,59946,0x4cf4,3,8,5,7,,16668,16676,,,,,,
10.0.2.16 13.248.212.111 57232 443,696331047,696361559,696361603,696361607,696361625,696361629,,,57232,0x50e0,3,6,4,4,,30137,30143,,,,,,
76.223.92.165 10.0.2.16 443 52774,696394060,696409839,696409912,696409916,696409934,696409941,,,443,0x435a,3,9,4,7,,15586,15595,,,,,,
76.223.92.165 10.0.2.16 443 60542,696413196,696428747,696428813,696428816,696428834,696428839,,,443,0x494e,3,9,3,5,,15373,15382,,,,,,
10.0.2.16 76.223.92.165 60542 443,696413626,696431260,696431332,696431336,696431354,696431360,,,60542,0x5a8d,3,3,4,6,,17397,17400,,,,,,
76.223.92.165 10.0.2.16 443 53814,696640805,696649382,696649410,696649417,696649435,696649446,,,443,0x3a64,3,26,7,11,,8483,8509,,,,,,
76.223.92.165 10.0.2.16 443 53818,696639743,696650459,696650531,696650535,696650553,696650561,,,443,0x1800,3,62,4,8,,10506,10568,,,,,,
10.0.2.16 76.223.92.165 53818 443,696639389,696650789,696650857,696650861,696650879,696650886,,,53818,0x7ad5,3,23,4,7,,11281,11304,,,,,,
13.248.212.111 10.0.2.16 443 53948,696772089,696785634,696785695,696785700,696785718,696785725,,,443,0x35fd,3,66,5,7,,13395,13461,,,,,,
10.0.2.16 13.248.212.111 53948 443,696771617,696786105,696786177,696786180,696786198,696786203,,,53948,0x1edf,3,27,3,5,,14253,14280,,,,,,
10.0.2.16 13.248.212.111 58106 443,696767063,696786430,696786502,696786505,696786523,696786529,,,58106,0x55d4,3,7,3,6,,19106,19113,,,,,,
76.223.92.165 10.0.2.16 443 37824,696782462,696798068,696798140,696798144,696798162,696798168,,,443,0x5b97,3,41,4,6,,15337,15378,,,,,,
13.248.212.111 10.0.2.16 443 48862,696925439,696937890,696937962,696937967,696937985,696937994,,,443,0x7ca7,3,9,5,9,,12300,12309,,,,,,
10.0.2.16 13.248.212.111 48862 443,696924993,696938263,696938295,696938299,696938317,696938325,,,48862,0x1720,3,108,4,8,,13084,13192,,,,,,
