Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration
31.13.80.8 10.0.2.16 443 46650,404469777,404469864,404469946,404469952,404469969,404469975,,,443,0x4702,5,52,6,6,,2269,2321
10.0.2.16 31.13.80.34 32772 443,404470321,404470325,404470403,404470410,404470429,404470435,,,32772,0x6d02,5,33,7,6,,5395,5428
31.13.80.8 10.0.2.16 443 59526,404470913,404478823,404478894,404478899,404478917,404478925,,,443,0x68e8,5,24,5,8,,7845,7869
31.13.80.34 10.0.2.16 443 52140,404482331,404495224,404495239,404495253,404495272,404495284,,,443,0x4aa1,5,19,14,12,,23747,23766
10.0.2.16 31.13.80.34 52140 443,404528251,404528255,404528330,404528339,404528357,404528368,,,52140,0x2d3f,5,13,9,11,,23354,23367
31.13.80.8 10.0.2.16 443 51672,404528705,404528737,404528784,404528790,404528808,404528815,,,443,0x403a,5,23,6,7,,12545,12568
31.13.80.34 10.0.2.16 443 56730,404532915,404532918,404532993,404532997,404533015,404533019,,,443,0x2997,5,33,4,4,,18187,18220
31.13.80.34 10.0.2.16 443 53204,404533875,404555941,404556013,404556019,404556037,404556044,,,443,0x4a81,5,13,6,7,,22003,22016
10.0.2.16 31.13.80.34 53204 443,404747430,404747434,404747509,404747519,404747538,404747551,,,53204,0x1092,5,71,10,13,,21611,21682
10.0.2.16 31.13.80.8 56238 443,404749228,404749251,404749302,404749305,404749329,404749334,,,56238,0x6839,5,77,3,5,,11361,11438
31.13.80.8 10.0.2.16 443 44944,404749077,404749221,404749298,404749305,404749322,404749332,,,443,0x310c,5,79,7,10,,3076,3155
31.13.80.34 10.0.2.16 443 38248,404749547,404749559,404749632,404749636,404749659,404749665,,,443,0x7274,5,57,4,6,,5573,5630
10.0.2.16 31.13.80.34 38248 443,404751069,404751102,404751111,404751120,404751139,404751151,,,38248,0x3f95,5,96,9,12,,5204,5300
31.13.80.8 10.0.2.16 443 49436,404752578,404752668,404752739,404752743,404752761,404752768,,,443,0x45d4,5,4,4,7,,2325,2329
10.0.2.16 31.13.80.8 59998 443,404755502,404759391,404759396,404759400,404759418,404759427,,,59998,0x4fb7,5,33,4,9,,3861,3894
10.0.2.16 31.13.80.8 60654 443,404763491,404766721,404766744,404766747,404766764,404766769,,,60654,0x5529,5,55,3,5,,9492,9547
31.13.80.8 10.0.2.16 443 60654,404801419,404801423,404801498,404801503,404801521,404801525,,,443,0x1949,5,85,5,4,,9701,9786
31.13.80.34 10.0.2.16 443 35320,404802038,404802041,404802119,404802121,404802139,404802143,,,443,0x71b3,5,86,2,4,,6533,6619
10.0.2.16 31.13.80.34 57056 443,404859708,404859712,404859789,404859796,404859814,404859822,,,57056,0x6b23,5,106,7,8,,4364,4470
10.0.2.16 31.13.80.8 37992 443,404862865,404862974,404863058,404863065,404863083,404863093,,,37992,0x36e6,5,46,7,10,,11960,12006
31.13.80.8 10.0.2.16 443 37992,404862993,404863018,404863062,404863065,404863089,404863094,,,443,0x3e40,5,58,3,5,,12345,12403
31.13.80.34 10.0.2.16 443 36144,404874577,404887467,404887538,404887543,404887561,404887567,,,443,0x19e9,5,55,5,6,,23043,23098
10.0.2.16 31.13.80.8 50242 443,404969564,404969567,404969646,404969653,404969670,404969682,,,50242,0x1f59,5,42,7,12,,74667,74709
31.13.80.34 10.0.2.16 443 47358,404969735,404969742,404969812,404969815,404969833,404969836,,,443,0x6a33,5,24,3,3,,3936,3960
10.0.2.16 31.13.80.8 46150 443,405029087,405029199,405029283,405029291,405029309,405029323,,,46150,0x28ed,5,95,8,14,,3966,4061
31.13.80.8 10.0.2.16 443 46150,405029203,405029212,405029289,405029292,405029318,405029325,,,443,0x4116,5,72,3,7,,4124,4196
31.13.80.8 10.0.2.16 443 42552,405031339,405031371,405031402,405031406,405031424,405031427,,,443,0x3083,5,27,4,3,,10284,10311
31.13.80.34 10.0.2.16 443 36322,405031636,405031759,405031833,405031836,405031854,405031858,,,443,0x647b,5,78,3,4,,3673,3751
10.0.2.16 31.13.80.8 42964 443,405032482,405036499,405036571,405036575,405036593,405036601,,,42964,0x4e97,5,28,4,8,,3941,3969
31.13.80.8 10.0.2.16 443 42964,405044253,405044257,405044333,405044336,405044354,405044357,,,443,0x4e1b,5,17,3,3,,4096,4113
10.0.2.16 31.13.80.8 43012 443,405044311,405046257,405046287,405046290,405046308,405046311,,,43012,0x33de,5,85,3,3,,12042,12127
31.13.80.8 10.0.2.16 443 43012,405050368,405050371,405050444,405050446,405050464,405050467,,,443,0x3f43,5,48,2,3,,12399,12447
10.0.2.16 31.13.80.34 44450 443,405050574,405056656,405056681,405056688,405056706,405056716,,,44450,0x5171,5,20,7,10,,6059,6079
31.13.80.34 10.0.2.16 443 39324,405137826,405137849,405137878,405137882,405137900,405137907,,,443,0x7206,5,111,4,7,,4328,4439
10.0.2.16 31.13.80.34 39324 443,405138549,405138553,405138634,405138642,405138661,405138671,,,39324,0x27d7,5,90,8,10,,4340,4430
31.13.80.8 10.0.2.16 443 41750,405145406,405145426,405145484,405145488,405145506,405145511,,,443,0x5517,5,39,4,5,,2577,2616
10.0.2.16 31.13.80.34 44518 443,405220407,405220410,405220489,405220495,405220513,405220521,,,44518,0x3f65,5,85,6,8,,3105,3190
10.0.2.16 31.13.80.8 40684 443,405221675,405226353,405226425,405226432,405226450,405226460,,,40684,0x22e2,5,37,7,10,,4591,4628
10.0.2.16 31.13.80.8 49824 443,405323635,405323665,405323696,405323702,405323721,405323728,,,49824,0x489c,5,59,6,7,,10350,10409
31.13.80.34 10.0.2.16 443 59580,405324622,405324714,405324794,405324799,405324817,405324821,,,443,0x460a,5,75,5,4,,12192,12267
10.0.2.16 31.13.80.8 44586 443,405326416,405330149,405330216,405330221,405330240,405330247,,,44586,0x20d6,5,31,5,7,,3752,3783
31.13.80.8 10.0.2.16 443 44586,405337073,405337077,405337150,405337154,405337171,405337177,,,443,0x2923,5,10,4,6,,3814,3824
31.13.80.34 10.0.2.16 443 50894,405446935,405449290,405449323,405449346,405449367,405449385,,,443,0x139a,5,92,23,18,,2334,2426
31.13.80.34 10.0.2.16 443 52262,405494845,405494870,405494878,405494885,405494903,405494911,,,443,0x27e5,5,36,7,8,,4758,4794
31.13.80.8 10.0.2.16 443 42478,405496694,405496726,405496753,405496759,405496777,405496782,,,443,0x5f39,5,18,6,5,,11929,11947
10.0.2.16 31.13.80.8 54002 443,405498485,405501502,405501576,405501582,405501600,405501610,,,54002,0x784d,5,86,6,10,,2944,3030
31.13.80.8 10.0.2.16 443 56338,405513362,405513455,405513537,405513566,405513588,405513615,,,443,0x5ce2,5,72,29,27,,10223,10295
10.0.2.16 31.13.80.34 45968 443,405559486,405559489,405559568,405559577,405559595,405559606,,,45968,0x621e,5,44,9,11,,2415,2459
31.13.80.34 10.0.2.16 443 42742,405561754,405584078,405584150,405584161,405584179,405584189,,,443,0x51c3,5,15,11,10,,22311,22326
10.0.2.16 31.13.80.34 42742 443,405686816,405686842,405686898,405686910,405686929,405686940,,,42742,0x70ee,5,88,12,11,,21914,22002
31.13.80.34 10.0.2.16 443 49780,405688210,405688213,405688289,405688293,405688311,405688316,,,443,0x1fa9,5,56,4,5,,3539,3595
10.0.2.16 31.13.80.34 49780 443,405688949,405688965,405689023,405689029,405689047,405689054,,,49780,0x4587,5,96,6,7,,3520,3616
10.0.2.16 31.13.80.8 34836 443,405692195,405696493,405696565,405696573,405696591,405696600,,,34836,0x79f7,5,26,8,9,,4323,4349
31.13.80.8 10.0.2.16 443 34836,405703865,405703869,405703944,405703948,405703966,405703970,,,443,0x401c,5,21,4,4,,4445,4466
31.13.80.34 10.0.2.16 443 49172,405704077,405713189,405713196,405713200,405713218,405713225,,,443,0x4a58,5,88,4,7,,20105,20193
10.0.2.16 31.13.80.8 34460 443,405757633,405757642,405757715,405757720,405757737,405757743,,,34460,0x1bfc,5,51,5,6,,11430,11481
31.13.80.34 10.0.2.16 443 59326,405763133,405763172,405763197,405763200,405763218,405763221,,,443,0x4ac0,5,28,3,3,,4997,5025
31.13.80.34 10.0.2.16 443 46438,405815270,405815373,405815454,405815457,405815475,405815479,,,443,0x6e20,5,34,3,4,,18998,19032
