Flow ID,pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_2_start_dec,pipeline_2_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,srcPort,flow_id_hex,class_number,delta_0_us,delta_1,delta_2,delta_3,Flow Duration Original,pipeline_flow_duration,,,,,,
23.102.169.166 10.0.2.16 443 48782,277323970,277332502,277332576,277332596,277332617,277332637,,,443,0x1591,6,17,20,20,,8474,8491,,,,,,
20.44.10.122 10.0.2.16 443 43172,277344865,277348374,277348413,277348421,277348439,277348451,,,443,0x1bf0,6,35,8,12,,3491,3526,,,,,,
137.117.16.35 10.0.2.16 443 57134,277335111,277380459,277380480,277380486,277380504,277380515,,,443,0x5b8c,6,73,6,11,,45012,45085,,,,,,
10.0.2.16 23.96.94.139 60572 443,277437768,277451765,277451797,277451802,277451820,277451830,,,60572,0x7e60,6,3,5,10,,13884,13887,,,,,,
10.0.2.16 23.102.169.166 42842 443,277442843,277455279,277455298,277455302,277455320,277455331,,,42842,0x4d04,6,52,4,11,,12307,12359,,,,,,
10.0.2.16 23.102.169.166 42872 443,277447422,277458413,277458485,277458488,277458506,277458510,,,42872,0x7a0e,6,12,3,4,,10821,10833,,,,,,
23.102.169.166 10.0.2.16 443 42872,277446993,277458783,277458807,277458811,277458829,277458836,,,443,0x767e,6,44,4,7,,11668,11712,,,,,,
10.0.2.16 23.102.169.166 42858 443,277452891,277472258,277472285,277472293,277472312,277472321,,,42858,0x68b2,6,40,8,9,,19177,19217,,,,,,
52.113.194.132 10.0.2.16 443 58206,277478442,277499505,277499577,277499581,277499599,277499607,,,443,0x5640,6,44,4,8,,20874,20918,,,,,,
137.117.16.35 10.0.2.16 443 44352,277473341,277507164,277507182,277507188,277507205,277507214,,,443,0x48fa,6,38,6,9,,33590,33628,,,,,,
10.0.2.16 52.178.17.3 54542 443,277507915,277513041,277513061,277513065,277513083,277513090,,,54542,0x2ebb,6,29,4,7,,5074,5103,,,,,,
10.0.2.16 23.102.169.166 33014 443,277586057,277590804,277590869,277590877,277590895,277590907,,,33014,0x5dd8,6,23,8,12,,4728,4751,,,,,,
23.102.169.166 10.0.2.16 443 33014,277585740,277591165,277591206,277591210,277591228,277591237,,,443,0x7438,6,57,4,9,,5452,5509,,,,,,
52.178.17.3 10.0.2.16 443 49966,277596700,277606247,277606256,277606263,277606281,277606290,,,443,0x129d,6,67,7,9,,9445,9512,,,,,,
10.0.2.16 52.178.17.3 49966 443,277597160,277606675,277606747,277606752,277606770,277606779,,,49966,0x31ad,6,29,5,9,,9461,9490,,,,,,
23.102.169.166 10.0.2.16 443 33018,277596048,277607330,277607402,277607405,277607423,277607428,,,443,0x565c,6,30,3,5,,11212,11242,,,,,,
52.114.133.197 10.0.2.16 443 43939,277630641,277636488,277636560,277636563,277636581,277636587,,,443,0x163d,6,46,3,6,,5808,5854,,,,,,
104.208.16.88 10.0.2.16 443 54694,277653446,277658337,277658409,277658417,277658436,277658443,,,443,0x1bf2,6,95,8,7,,4839,4934,,,,,,
10.0.2.16 104.208.16.88 54694 443,277653908,277658986,277659059,277659062,277659080,277659087,,,54694,0x2eed,6,101,3,7,,5082,5183,,,,,,
10.0.2.16 104.46.162.226 51371 443,277661212,277666175,277666191,277666194,277666213,277666221,,,51371,0x4cec,6,47,3,8,,4955,5002,,,,,,
104.46.162.226 10.0.2.16 443 51371,277660754,277666606,277666677,277666681,277666699,277666709,,,443,0x68d2,6,108,4,10,,5745,5853,,,,,,
51.104.15.253 10.0.2.16 443 49264,277679947,277685921,277685993,277685996,277686014,277686020,,,443,0x7c63,6,11,3,6,,5878,5889,,,,,,
10.0.2.16 137.117.16.35 48348 443,277677834,277698427,277698498,277698502,277698520,277698527,,,48348,0x7f3d,6,18,4,7,,20373,20391,,,,,,
10.0.2.16 20.189.173.12 43204 443,277702229,277707771,277707843,277707846,277707864,277707871,,,43204,0x69b4,6,9,3,7,,5447,5456,,,,,,
20.189.173.12 10.0.2.16 443 43204,277701810,277708416,277708488,277708491,277708509,277708513,,,443,0x289e,6,26,3,4,,6497,6523,,,,,,
10.0.2.16 20.189.173.12 35382 443,277725794,277734656,277734728,277734732,277734750,277734757,,,35382,0x5042,6,32,4,7,,8767,8799,,,,,,
20.189.173.12 10.0.2.16 443 35382,277725369,277735390,277735465,277735478,277735499,277735511,,,443,0x4827,6,23,13,12,,9856,9879,,,,,,
104.46.162.226 10.0.2.16 443 50072,277761235,277767171,277767190,277767195,277767213,277767224,,,443,0x79f3,6,5,5,11,,5891,5896,,,,,,
10.0.2.16 23.102.169.166 40830 443,277805978,277842010,277842082,277842089,277842108,277842120,,,40830,0x5027,6,64,7,12,,35685,35749,,,,,,
23.102.169.166 10.0.2.16 443 40830,277805662,277842347,277842419,277842424,277842442,277842452,,,443,0x3632,6,32,5,10,,36465,36497,,,,,,
40.70.161.102 10.0.2.16 443 34450,277850929,277856308,277856374,277856378,277856396,277856407,,,443,0x4037,6,46,4,11,,5317,5363,,,,,,
10.0.2.16 52.165.180.242 50718 443,277857436,277862357,277862428,277862432,277862450,277862458,,,50718,0x46e0,6,56,4,8,,4876,4932,,,,,,
13.89.179.9 10.0.2.16 443 44560,277865854,277869235,277869245,277869249,277869267,277869275,,,443,0x52ee,6,58,4,8,,3390,3448,,,,,,
