timestamp,"
  flow_id_hex",pipeline_0_1_dec,pipeline_0_8_dec,pipeline_1_start_dec,pipeline_1_end_dec,pipeline_3_start_dec,pipeline_3_end_dec,delta_0_ms,delta_1,delta_3
2026-01-31T16:50:06.690360Z,0x4a3,1058613144,1058845291,1058845374,1058845412,1058845487,1058845512,232.147,38,25
2026-01-31T16:50:12.288050Z,0x3e8a,1063905394,1064110198,1064110274,1064110300,1064110374,1064110395,204.804,26,21
2026-01-31T16:50:17.794745Z,0x2db4,1069168728,1069485660,1069485669,1069485694,1069485766,1069485788,316.932,25,22
2026-01-31T16:50:22.723601Z,0x179d,1074543898,1074694308,1074694354,1074694381,1074694452,1074694473,150.41,27,21
2026-01-31T16:50:28.319049Z,0x568d,1079753326,1080005609,1080005669,1080005694,1080005763,1080005785,252.283,25,22
2026-01-31T16:50:33.245527Z,0x6ca4,1085064587,1085287163,1085287237,1085287252,1085287319,1085287335,222.576,15,16
2026-01-31T16:50:38.847528Z,0x7f9a,1090344801,1090561922,1090561996,1090562009,1090562075,1090562088,217.121,13,13
2026-01-31T16:50:43.772921Z,0x45b3,1095623085,1095837334,1095837408,1095837423,1095837487,1095837502,214.249,15,15
2026-01-31T16:50:49.366608Z,0x5402,1100896446,1101131628,1101131686,1101131696,1101131760,1101131770,235.182,10,10
2026-01-31T16:50:54.302178Z,0x6e2b,1106191742,1106415259,1106415315,1106415324,1106415386,1106415400,223.517,9,14
2026-01-31T16:50:59.895317Z,0x7d15,1111472963,1111708692,1111708765,1111708779,1111708842,1111708857,235.729,14,15
2026-01-31T16:51:04.844336Z,0x473c,1116767248,1116963344,1116963402,1116963412,1116963472,1116963486,196.096,10,14
2026-01-31T16:51:10.442512Z,0x62c,1122022548,1122223085,1122223127,1122223141,1122223200,1122223212,200.537,14,12
2026-01-31T16:51:15.378092Z,0x3c05,1127281892,1127485329,1127485387,1127485402,1127485459,1127485472,203.437,15,13
2026-01-31T16:51:20.972907Z,0x2f3b,1132546161,1133004655,1133004664,1133004676,1133004733,1133004746,458.494,12,13
2026-01-31T16:51:26.575498Z,0x1512,1138063322,1138520978,1138521010,1138521021,1138521079,1138521091,457.656,11,12
2026-01-31T16:51:32.163263Z,0x6af,1143578338,1143940008,1143940083,1143940093,1143940150,1143940160,361.67,10,10
2026-01-31T16:51:37.087980Z,0x3c86,1149001505,1149286988,1149287060,1149287076,1149287133,1149287145,285.483,16,12
2026-01-31T16:51:42.685917Z,0x2fb8,1154346756,1154675521,1154675593,1154675607,1154675663,1154675675,328.765,14,12
2026-01-31T16:51:48.280392Z,0x1591,1159734986,1159935380,1159935421,1159935433,1159935489,1159935502,200.394,12,13
2026-01-31T16:51:53.874219Z,0x7e2c,1164994263,1165884567,1165884640,1165884654,1165884711,1165884728,890.304,14,17
2026-01-31T16:51:59.481115Z,0x7b69,1170943009,1171262785,1171262817,1171262831,1171262888,1171262902,319.776,14,14
2026-01-31T16:52:10.369774Z,0x575f,1182014062,1182193894,1182193968,1182193986,1182194043,1182194057,179.832,18,14
2026-01-31T16:52:15.311366Z,0x4224,1187256396,1187419652,1187419676,1187419686,1187419742,1187419756,163.256,10,14
2026-01-31T16:52:20.903758Z,0x7e48,1192477720,1192644770,1192644844,1192644857,1192644912,1192644922,167.05,13,10
2026-01-31T16:52:25.829391Z,0x381b,1197704105,1197865282,1197865333,1197865344,1197865400,1197865409,161.177,11,9
2026-01-31T16:52:31.423944Z,0x477,1202925486,1203083353,1203083392,1203083404,1203083459,1203083471,157.867,12,12
2026-01-31T16:52:36.360767Z,0x110c,1208142748,1208358110,1208358159,1208358169,1208358226,1208358237,215.362,10,11
2026-01-31T16:52:41.877932Z,0x2d60,1213419068,1213550539,1213550611,1213550624,1213550681,1213550692,131.471,13,11
2026-01-31T16:52:47.477689Z,0x6a35,1218607446,1219528316,1219528353,1219528366,1219528423,1219528437,920.87,13,14
2026-01-31T16:52:53.742848Z,0x5659,1224593099,1225521047,1225521121,1225521133,1225521189,1225521202,927.948,12,13
2026-01-31T16:52:58.686127Z,0x4322,1230583767,1230816295,1230816368,1230816381,1230816437,1230816448,232.528,13,11
2026-01-31T16:53:04.277056Z,0x7f4e,1235873075,1236076914,1236076987,1236077000,1236077056,1236077070,203.839,13,14
2026-01-31T16:53:09.208042Z,0x6ab6,1241135413,1241345862,1241345935,1241345945,1241346001,1241346012,210.449,10,11
2026-01-31T16:53:14.799197Z,0x56da,1246410724,1246622395,1246622438,1246622449,1246622504,1246622515,211.671,11,11
2026-01-31T16:53:19.732826Z,0x43a1,1251680933,1251887007,1251887081,1251887092,1251887147,1251887157,206.074,11,10
2026-01-31T16:53:25.331406Z,0x7fcd,1256944305,1257145708,1257145782,1257145795,1257145851,1257145862,201.403,13,11
2026-01-31T16:53:30.262820Z,0x3898,1262205580,1262332808,1262332883,1262332897,1262332952,1262332963,127.228,14,11
2026-01-31T16:53:35.865153Z,0x4f4,1267393008,1267529172,1267529247,1267529258,1267529314,1267529328,136.164,11,14
2026-01-31T16:53:40.789147Z,0x118f,1272587465,1272782141,1272782168,1272782181,1272782236,1272782249,194.676,13,13
2026-01-31T16:53:46.382464Z,0x2de3,1277837682,1278037508,1278037558,1278037570,1278037626,1278037638,199.826,12,12
2026-01-31T16:53:51.310558Z,0x44d6,1283094974,1283294122,1283294195,1283294208,1283294263,1283294276,199.148,13,13
2026-01-31T16:53:56.822565Z,0x78ba,1288358359,1288485124,1288485197,1288485209,1288485265,1288485278,126.765,12,13
2026-01-31T16:54:01.753527Z,0x6dc1,1293540689,1293768834,1293768900,1293768912,1293768967,1293768979,228.145,12,12
2026-01-31T16:54:07.344454Z,0x51ad,1298830057,1299062199,1299062228,1299062243,1299062299,1299062312,232.142,15,13
2026-01-31T16:54:12.273278Z,0x16f8,1304119291,1304346313,1304346386,1304346399,1304346455,1304346466,227.022,13,11
