Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Packet Length Range,First4Sum,Last4Sum,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT range,Flow Duration,Label
4.4.4.77 3.3.3.77 1194 47097 17,104,1312,3694,1208,1879,1815,0,1208,0.0,91437.0,91437.0,115705.0,instagram
3.3.3.78 4.4.4.78 47097 1194 17,104,1332,4822,1228,1652,3170,0,1228,10.0,64867.0,64857.0,205474.0,instagram
4.4.4.78 3.3.3.78 1194 47097 17,112,1312,3764,1200,1880,1884,44,1200,0.0,105091.0,105091.0,128673.0,instagram
3.3.3.79 4.4.4.79 47097 1194 17,104,1332,4751,1228,1879,2872,8,1228,1934.0,60148.0,58214.0,173581.0,instagram
4.4.4.79 3.3.3.79 1194 47097 17,104,1312,2399,1208,1880,519,0,1200,0.0,77020.0,77020.0,109241.0,instagram
3.3.3.80 4.4.4.80 47097 1194 17,104,1332,5743,1228,1652,4091,0,1228,9.0,56640.0,56631.0,136982.0,instagram
4.4.4.80 3.3.3.80 1194 47097 17,112,1312,2659,1200,1880,779,3,1200,0.0,95618.0,95618.0,125379.0,instagram
3.3.3.81 4.4.4.81 47097 1194 17,104,1332,3381,1228,1726,1655,0,1228,1383.0,461934.0,460551.0,626355.0,instagram
4.4.4.81 3.3.3.81 1194 47097 17,104,1312,2398,1208,1871,527,8,1208,0.0,460267.0,460267.0,548966.0,instagram
3.3.3.82 4.4.4.82 47097 1194 17,104,1332,4886,1228,2880,2006,8,1228,11.0,103357.0,103346.0,233948.0,instagram
4.4.4.82 3.3.3.82 1194 47097 17,112,1312,3762,1200,1879,1883,44,1200,0.0,106175.0,106175.0,137720.0,instagram
3.3.3.83 4.4.4.83 47097 1194 17,104,331,1131,227,651,480,0,227,12.0,100776.0,100764.0,207523.0,instagram
4.4.4.83 3.3.3.83 1194 47097 17,104,1381,4617,1277,2978,1639,0,1277,0.0,132202.0,132202.0,222448.0,instagram
3.3.3.84 4.4.4.84 47097 1194 17,104,1332,4535,1228,1652,2883,0,1228,2930.0,84720.0,81790.0,216956.0,instagram
4.4.4.84 3.3.3.84 1194 47097 17,104,1312,2647,1208,1880,767,15,1200,0.0,95116.0,95116.0,116339.0,instagram
3.3.3.85 4.4.4.85 47097 1194 17,104,1332,5090,1228,2061,3029,0,1228,1.0,101401.0,101400.0,118490.0,instagram
4.4.4.85 3.3.3.85 1194 47097 17,104,1312,2411,1208,1880,531,12,1200,0.0,83144.0,83144.0,112891.0,instagram
3.3.3.86 4.4.4.86 47097 1194 17,104,1332,5921,1228,1652,4269,0,1228,116.0,67295.0,67179.0,150680.0,instagram
4.4.4.86 3.3.3.86 1194 47097 17,112,1312,3762,1200,1879,1883,44,1200,0.0,100850.0,100850.0,125513.0,instagram
3.3.3.87 4.4.4.87 47097 1194 17,104,1332,6148,1228,2061,4087,0,1228,484.0,59681.0,59197.0,112757.0,instagram
4.4.4.87 3.3.3.87 1194 47097 17,104,1312,2555,1208,1879,676,15,1200,0.0,41887.0,41887.0,102030.0,instagram
3.3.3.88 4.4.4.88 47097 1194 17,92,1332,2475,1240,2061,414,0,1220,30.0,69493.0,69463.0,199078.0,instagram
4.4.4.88 3.3.3.88 1194 47097 17,104,1312,3749,1208,1880,1869,56,1208,1.0,80160.0,80159.0,121170.0,instagram
3.3.3.89 4.4.4.89 47097 1194 17,92,1332,4674,1240,2061,2613,8,1228,31.0,109428.0,109397.0,253935.0,instagram
4.4.4.89 3.3.3.89 1194 47097 17,104,1312,3941,1208,1880,2061,56,1200,1.0,92590.0,92589.0,130780.0,instagram
15.15.15.73 16.16.16.73 1194 52961 17,104,1312,2595,1208,728,1867,38,1208,10.0,800024.0,800014.0,1917965.0,youtube
16.16.16.73 15.15.15.73 52961 1194 17,92,1312,4469,1220,368,4101,0,1220,37.0,819904.0,819867.0,1830845.0,youtube
15.15.15.74 16.16.16.74 52961 1194 17,104,1330,3825,1226,2884,941,0,1218,25.0,50833.0,50808.0,56139.0,youtube
16.16.16.74 15.15.15.74 1194 52961 17,112,1330,6986,1218,2884,4102,0,1218,7.0,6165.0,6158.0,15875.0,youtube
15.15.15.75 16.16.16.75 52961 1194 17,104,1330,4334,1226,2884,1450,0,1226,572.0,39789.0,39217.0,65096.0,youtube
16.16.16.75 15.15.15.75 1194 52961 17,112,1330,8204,1218,2884,5320,0,1218,10.0,10033.0,10023.0,16235.0,youtube
15.15.15.76 16.16.16.76 1194 52961 17,112,1330,5801,1218,2917,2884,0,1218,60.0,1156374.0,1156314.0,1200570.0,youtube
16.16.16.76 15.15.15.76 52961 1194 17,104,1330,3894,1226,1727,2167,0,1218,37.0,1018275.0,1018238.0,1104859.0,youtube
15.15.15.77 16.16.16.77 52961 1194 17,104,1330,3825,1226,2884,941,0,1218,32.0,40463.0,40431.0,56427.0,youtube
16.16.16.77 15.15.15.77 1194 52961 17,112,1330,6986,1218,1666,5320,0,1218,41.0,6065.0,6024.0,22721.0,youtube
15.15.15.78 16.16.16.78 52961 1194 17,104,1330,3825,1226,2884,941,0,1218,34.0,46453.0,46419.0,58111.0,youtube
16.16.16.78 15.15.15.78 1194 52961 17,112,1330,6986,1218,1666,5320,0,1218,8.0,6285.0,6277.0,17737.0,youtube
15.15.15.79 16.16.16.79 52961 1194 17,104,1330,3332,1226,1674,1658,0,1226,8.0,105350.0,105342.0,243818.0,youtube
16.16.16.79 15.15.15.79 1194 52961 17,112,1330,5784,1218,464,5320,0,1218,51.0,162955.0,162904.0,179830.0,youtube
15.15.15.80 16.16.16.80 52961 1194 17,104,1330,4334,1226,1658,2676,0,1218,35.0,51344.0,51309.0,96658.0,youtube
16.16.16.80 15.15.15.80 1194 52961 17,104,1330,4534,1226,2884,1650,0,1218,24.0,69543.0,69519.0,87528.0,youtube
15.15.15.81 16.16.16.81 52961 1194 17,104,1330,3842,1226,2884,958,0,1218,39.0,116277.0,116238.0,163664.0,youtube
16.16.16.81 15.15.15.81 1194 52961 17,112,1330,6986,1218,2884,4102,0,1218,44.0,9662.0,9618.0,27933.0,youtube
15.15.15.82 16.16.16.82 1194 52961 17,104,1330,5800,1226,2924,2876,0,1226,32.0,1240927.0,1240895.0,1324891.0,youtube
16.16.16.82 15.15.15.82 52961 1194 17,104,1330,5128,1226,1726,3402,8,1218,577.0,1139005.0,1138428.0,1212789.0,youtube
15.15.15.83 16.16.16.83 52961 1194 17,104,1330,3332,1226,1674,1658,0,1226,45.0,1641107.0,1641062.0,1797173.0,youtube
16.16.16.83 15.15.15.83 1194 52961 17,112,1330,5784,1218,2900,2884,0,1218,54.0,1704676.0,1704622.0,1749801.0,youtube
15.15.15.84 16.16.16.84 52961 1194 17,104,1330,5051,1226,2884,2167,0,1218,46.0,34509.0,34463.0,56577.0,youtube
16.16.16.84 15.15.15.84 1194 52961 17,104,1330,5760,1226,4102,1658,0,1226,62.0,12393.0,12331.0,47162.0,youtube
15.15.15.85 16.16.16.85 52961 1194 17,104,1330,3308,1226,2884,424,0,1218,29.0,70006.0,69977.0,71189.0,youtube
16.16.16.85 15.15.15.85 1194 52961 17,112,1330,6986,1218,1666,5320,0,1218,7.0,11538.0,11531.0,19838.0,youtube
15.15.15.86 16.16.16.86 52961 1194 17,104,1330,4334,1226,1658,2676,0,1218,37.0,50678.0,50641.0,66991.0,youtube
16.16.16.86 15.15.15.86 1194 52961 17,104,1330,5752,1226,2884,2868,0,1226,61.0,34790.0,34729.0,63127.0,youtube
15.15.15.87 16.16.16.87 52961 1194 17,104,1330,3825,1226,2884,941,0,1218,550.0,56981.0,56431.0,112005.0,youtube
16.16.16.87 15.15.15.87 1194 52961 17,112,1330,6986,1218,1666,5320,0,1218,9.0,6428.0,6419.0,17355.0,youtube
15.15.15.88 16.16.16.88 52961 1194 17,104,1330,4334,1226,1658,2676,0,1226,19.0,57280.0,57261.0,66703.0,youtube
16.16.16.88 15.15.15.88 1194 52961 17,104,1330,5752,1226,2884,2868,0,1226,9.0,48529.0,48520.0,71973.0,youtube
1.1.1.70 2.2.2.70 52374 1194 17,104,1312,2303,1208,432,1871,0,1208,55.0,51556.0,51501.0,108849.0,facebook
2.2.2.70 1.1.1.70 1194 52374 17,104,1312,2297,1208,1648,649,0,1200,1.0,72945.0,72944.0,108398.0,facebook
1.1.1.71 2.2.2.71 1194 52374 17,100,1312,2293,1212,436,1857,0,1200,1.0,508930.0,508929.0,721806.0,facebook
2.2.2.71 1.1.1.71 52374 1194 17,104,1312,3280,1208,1648,1632,0,1208,35.0,203655.0,203620.0,378436.0,facebook
1.1.1.72 2.2.2.72 52374 1194 17,104,1312,2303,1208,1648,655,0,1200,31.0,45487.0,45456.0,104023.0,facebook
2.2.2.72 1.1.1.72 1194 52374 17,104,1312,2297,1208,448,1849,0,1200,1.0,34470.0,34469.0,51969.0,facebook
1.1.1.73 2.2.2.73 52374 1194 17,104,1312,2528,1208,432,2096,0,1208,36.0,97363.0,97327.0,226424.0,facebook
2.2.2.73 1.1.1.73 1194 52374 17,104,1312,2289,1208,1648,641,0,1200,2.0,144358.0,144356.0,218163.0,facebook
1.1.1.74 2.2.2.74 52374 1194 17,104,1312,2305,1208,432,1873,0,1208,4.0,174073.0,174069.0,234440.0,facebook
2.2.2.74 1.1.1.74 1194 52374 17,104,1312,2297,1208,448,1849,0,1200,1.0,228278.0,228277.0,240109.0,facebook
1.1.1.75 2.2.2.75 52374 1194 17,104,1312,2303,1208,432,1871,0,1208,251.0,52475.0,52224.0,152531.0,facebook
2.2.2.75 1.1.1.75 1194 52374 17,104,1312,2297,1208,1648,649,0,1200,0.0,111811.0,111811.0,141711.0,facebook
1.1.1.76 2.2.2.76 52374 1194 17,104,1312,2303,1208,432,1871,0,1208,35.0,47643.0,47608.0,142063.0,facebook
2.2.2.76 1.1.1.76 1194 52374 17,104,1312,2296,1208,448,1848,0,1200,1.0,86832.0,86831.0,137140.0,facebook
1.1.1.77 2.2.2.77 52374 1194 17,104,1312,2303,1208,1640,663,0,1208,25.0,48847.0,48822.0,77060.0,facebook
2.2.2.77 1.1.1.77 1194 52374 17,104,1312,2297,1208,448,1849,0,1200,1.0,45044.0,45043.0,65811.0,facebook
1.1.1.78 2.2.2.78 52374 1194 17,104,1312,2303,1208,432,1871,0,1208,4.0,96691.0,96687.0,191420.0,facebook
2.2.2.78 1.1.1.78 1194 52374 17,104,1381,4489,1277,448,4041,0,1277,1.0,170759.0,170758.0,192451.0,facebook
1.1.1.79 2.2.2.79 52374 1194 17,104,1312,2305,1208,432,1873,0,1208,4.0,80389.0,80385.0,149766.0,facebook
2.2.2.79 1.1.1.79 1194 52374 17,104,1312,2241,1208,448,1793,0,1208,1.0,121589.0,121588.0,149708.0,facebook
1.1.1.80 2.2.2.80 52374 1194 17,104,1312,2303,1208,1648,655,0,1200,85.0,27373.0,27288.0,53247.0,facebook
2.2.2.80 1.1.1.80 1194 52374 17,104,1312,2297,1208,448,1849,0,1208,0.0,33707.0,33707.0,48299.0,facebook
1.1.1.81 2.2.2.81 52374 1194 17,104,1312,2072,1208,432,1640,0,1208,18.0,109397.0,109379.0,217885.0,facebook
2.2.2.81 1.1.1.81 1194 52374 17,104,1312,2297,1208,1648,649,0,1200,1.0,119784.0,119783.0,207916.0,facebook
1.1.1.82 2.2.2.82 52374 1194 17,104,1312,2484,1208,432,2052,0,1208,39.0,106686.0,106647.0,180517.0,facebook
2.2.2.82 1.1.1.82 1194 52374 17,104,1312,2296,1208,448,1848,0,1200,1.0,150473.0,150472.0,173024.0,facebook
1.1.1.83 2.2.2.83 52374 1194 17,104,1312,2303,1208,432,1871,0,1208,454.0,78665.0,78211.0,96703.0,facebook
2.2.2.83 1.1.1.83 1194 52374 17,104,1312,2296,1208,448,1848,0,1200,1.0,75073.0,75072.0,97142.0,facebook
1.1.1.84 2.2.2.84 52374 1194 17,104,337,1328,233,432,896,0,223,32.0,103770.0,103738.0,200000.0,facebook
2.2.2.84 1.1.1.84 1194 52374 17,104,1381,3281,1277,448,2833,0,1277,1.0,184069.0,184068.0,194160.0,facebook
1.1.1.85 2.2.2.85 52374 1194 17,104,337,1328,233,432,896,0,225,7.0,51290.0,51283.0,100163.0,facebook
2.2.2.85 1.1.1.85 1194 52374 17,104,1381,3265,1277,448,2817,0,1277,1.0,92612.0,92611.0,107038.0,facebook
1.1.1.86 2.2.2.86 52374 1194 17,104,337,1328,233,432,896,0,223,5.0,199564.0,199559.0,259615.0,facebook
2.2.2.86 1.1.1.86 1194 52374 17,104,1381,3281,1277,448,2833,0,1277,1.0,253285.0,253284.0,267528.0,facebook
9.9.9.68 10.10.10.68 1194 33983 17,152,1410,10022,1258,4382,5640,0,1258,1.0,3483087.0,3483086.0,3494665.0,tiktok
10.10.10.68 9.9.9.68 33983 1194 17,121,1410,8761,1289,4410,4351,0,1289,1116.0,3263092.0,3261976.0,3361002.0,tiktok
9.9.9.69 10.10.10.69 33983 1194 17,121,1410,7413,1289,5640,1773,0,1289,32.0,44914.0,44882.0,105863.0,tiktok
10.10.10.69 9.9.9.69 1194 33983 17,1410,1410,11280,0,5640,5640,0,0,1.0,6420.0,6419.0,15860.0,tiktok
9.9.9.70 10.10.10.70 33983 1194 17,121,1410,8702,1289,5640,3062,0,1289,31.0,89860.0,89829.0,162043.0,tiktok
10.10.10.70 9.9.9.70 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,59760.0,59759.0,112754.0,tiktok
9.9.9.71 10.10.10.71 33983 1194 17,121,1410,6124,1289,4351,1773,0,1289,17.0,144407.0,144390.0,187646.0,tiktok
10.10.10.71 9.9.9.71 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,44765.0,44764.0,88832.0,tiktok
9.9.9.72 10.10.10.72 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1555735.0,1555734.0,1595233.0,tiktok
10.10.10.72 9.9.9.72 33983 1194 17,121,1410,4835,1289,4351,484,0,1289,29.0,123132.0,123103.0,233887.0,tiktok
9.9.9.73 10.10.10.73 33983 1194 17,68,1410,8649,1342,4298,4351,0,1342,4020.0,1250895.0,1246875.0,1573851.0,tiktok
10.10.10.73 9.9.9.73 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1295737.0,1295736.0,1316164.0,tiktok
9.9.9.74 10.10.10.74 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,486308.0,486307.0,503065.0,tiktok
10.10.10.74 9.9.9.74 33983 1194 17,121,1410,8702,1289,5640,3062,0,1289,9.0,66114.0,66105.0,85037.0,tiktok
9.9.9.75 10.10.10.75 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1449099.0,1449098.0,1454157.0,tiktok
10.10.10.75 9.9.9.75 33983 1194 17,68,1410,8649,1342,4298,4351,0,1342,31.0,747499.0,747468.0,1062185.0,tiktok
9.9.9.76 10.10.10.76 33983 1194 17,110,1410,8691,1300,4340,4351,0,1300,30.0,1640934.0,1640904.0,1965363.0,tiktok
10.10.10.76 9.9.9.76 1194 33983 17,128,1410,9998,1282,4358,5640,0,1282,1.0,1610257.0,1610256.0,1634637.0,tiktok
9.9.9.77 10.10.10.77 33983 1194 17,110,1410,6113,1300,4340,1773,0,1300,65.0,3090986.0,3090921.0,3288141.0,tiktok
10.10.10.77 9.9.9.77 1194 33983 17,109,1410,9979,1301,4339,5640,0,1301,2.0,3085737.0,3085735.0,3135995.0,tiktok
9.9.9.78 10.10.10.78 33983 1194 17,104,1381,3512,1277,941,2571,8,1226,809.0,95752.0,94943.0,313562.0,tiktok
10.10.10.78 9.9.9.78 1194 33983 17,104,872,1863,768,586,1277,0,768,1.0,93682.0,93681.0,257838.0,tiktok
9.9.9.79 10.10.10.79 33983 1194 17,68,1410,6071,1342,4298,1773,0,1342,37.0,864633.0,864596.0,954712.0,tiktok
10.10.10.79 9.9.9.79 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,2.0,909356.0,909354.0,925619.0,tiktok
9.9.9.80 10.10.10.80 33983 1194 17,121,1410,8702,1289,5640,3062,0,1289,20.0,77923.0,77903.0,107181.0,tiktok
10.10.10.80 9.9.9.80 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,0.0,56714.0,56714.0,56788.0,tiktok
9.9.9.81 10.10.10.81 33983 1194 17,113,1410,6138,1297,3076,3062,0,1297,4.0,4879728.0,4879724.0,4990892.0,tiktok
10.10.10.81 9.9.9.81 1194 33983 17,104,1410,9894,1306,4254,5640,0,1306,1.0,4894564.0,4894563.0,4935500.0,tiktok
9.9.9.82 10.10.10.82 33983 1194 17,68,1410,6071,1342,4298,1773,0,1342,20.0,325907.0,325887.0,603334.0,tiktok
10.10.10.82 9.9.9.82 1194 33983 17,68,1410,9938,1342,4298,5640,0,1342,1.0,383035.0,383034.0,394410.0,tiktok
11.11.11.80 12.12.12.80 42041 1194 17,104,307,1251,203,632,619,0,203,70.0,43470.0,43400.0,106130.0,twitter
12.12.12.80 11.11.11.80 1194 42041 17,104,1381,5115,1277,1709,3406,0,1269,1.0,54807.0,54806.0,106278.0,twitter
11.11.11.81 12.12.12.81 42041 1194 17,104,112,888,8,448,440,0,8,29.0,52493.0,52464.0,66469.0,twitter
12.12.12.81 11.11.11.81 1194 42041 17,112,112,896,0,448,448,0,0,0.0,109022.0,109022.0,120599.0,twitter
11.11.11.82 12.12.12.82 42041 1194 17,104,112,880,8,448,432,0,8,31.0,56804.0,56773.0,80255.0,twitter
12.12.12.82 11.11.11.82 1194 42041 17,104,112,888,8,448,440,0,8,1.0,93963.0,93962.0,115774.0,twitter
11.11.11.83 12.12.12.83 42041 1194 17,104,621,1632,517,440,1192,0,259,6.0,46863.0,46857.0,96189.0,twitter
12.12.12.83 11.11.11.83 1194 42041 17,104,1381,4687,1277,440,4247,0,1277,1.0,89021.0,89020.0,104959.0,twitter
11.11.11.84 12.12.12.84 42041 1194 17,104,112,872,8,448,424,0,8,12.0,104470.0,104458.0,105106.0,twitter
12.12.12.84 11.11.11.84 1194 42041 17,104,112,880,8,448,432,0,8,1.0,105052.0,105051.0,204892.0,twitter
11.11.11.85 12.12.12.85 42041 1194 17,104,112,880,8,448,432,0,8,4.0,56626.0,56622.0,92859.0,twitter
12.12.12.85 11.11.11.85 1194 42041 17,104,112,880,8,448,432,0,8,1.0,97112.0,97111.0,135775.0,twitter
11.11.11.86 12.12.12.86 42041 1194 17,112,621,1405,509,448,957,0,509,2.0,111294.0,111292.0,111344.0,twitter
12.12.12.86 11.11.11.86 1194 42041 17,104,112,888,8,448,440,0,8,1.0,111309.0,111308.0,116596.0,twitter
11.11.11.87 12.12.12.87 42041 1194 17,104,112,888,8,448,440,0,8,8.0,91048.0,91040.0,91601.0,twitter
12.12.12.87 11.11.11.87 1194 42041 17,104,112,888,8,448,440,0,8,0.0,89076.0,89076.0,101060.0,twitter
11.11.11.88 12.12.12.88 42041 1194 17,104,363,1123,259,448,675,0,259,3.0,52518.0,52515.0,96533.0,twitter
12.12.12.88 11.11.11.88 1194 42041 17,68,1381,3382,1313,404,2978,0,1277,1.0,65992.0,65991.0,140026.0,twitter
11.11.11.89 12.12.12.89 42041 1194 17,104,621,1898,517,949,949,0,517,32.0,73848.0,73816.0,152516.0,twitter
12.12.12.89 11.11.11.89 1194 42041 17,104,1381,3617,1277,1709,1908,0,1277,1.0,76329.0,76328.0,111999.0,twitter
11.11.11.90 12.12.12.90 42041 1194 17,104,621,1365,517,941,424,0,517,6.0,119057.0,119051.0,297627.0,twitter
12.12.12.90 11.11.11.90 1194 42041 17,104,1381,4878,1277,2978,1900,0,1277,0.0,109016.0,109016.0,293015.0,twitter
11.11.11.91 12.12.12.91 42041 1194 17,104,621,1381,517,440,941,0,517,9.0,70195.0,70186.0,158746.0,twitter
12.12.12.91 11.11.11.91 1194 42041 17,104,1381,3617,1277,440,3177,0,1277,0.0,85047.0,85047.0,129447.0,twitter
11.11.11.92 12.12.12.92 42041 1194 17,104,621,1365,517,949,416,0,517,7.0,114992.0,114985.0,309503.0,twitter
12.12.12.92 11.11.11.92 1194 42041 17,104,1381,4877,1277,2978,1899,0,1277,1.0,119559.0,119558.0,315828.0,twitter
11.11.11.93 12.12.12.93 42041 1194 17,104,621,1890,517,440,1450,0,517,7.0,96645.0,96638.0,151107.0,twitter
12.12.12.93 11.11.11.93 1194 42041 17,104,1381,3410,1277,440,2970,0,1277,1.0,145623.0,145622.0,161338.0,twitter
11.11.11.94 12.12.12.94 42041 1194 17,104,621,1365,517,949,416,0,517,767.0,91923.0,91156.0,229494.0,twitter
12.12.12.94 11.11.11.94 1194 42041 17,104,1381,4878,1277,1709,3169,0,1277,1.0,321861.0,321860.0,441326.0,twitter
11.11.11.95 12.12.12.95 42041 1194 17,104,112,880,8,448,432,0,8,4.0,109128.0,109124.0,109706.0,twitter
12.12.12.95 11.11.11.95 1194 42041 17,68,112,844,44,404,440,0,44,1.0,100043.0,100042.0,182001.0,twitter
11.11.11.96 12.12.12.96 42041 1194 17,104,363,1115,259,440,675,0,259,4.0,90436.0,90432.0,161416.0,twitter
12.12.12.96 11.11.11.96 1194 42041 17,104,1381,4891,1277,440,4451,0,1277,0.0,52247.0,52247.0,82033.0,twitter
11.11.11.97 12.12.12.97 42041 1194 17,104,112,872,8,448,424,0,8,5.0,97224.0,97219.0,108441.0,twitter
12.12.12.97 11.11.11.97 1194 42041 17,104,1381,2149,1277,448,1701,0,1277,1.0,110060.0,110059.0,127365.0,twitter
11.11.11.98 12.12.12.98 1194 42041 17,104,128,896,24,456,440,0,24,0.0,3592745.0,3592745.0,3710649.0,twitter
12.12.12.98 11.11.11.98 42041 1194 17,92,112,848,20,408,440,0,20,158.0,3508182.0,3508024.0,3584701.0,twitter
11.11.11.99 12.12.12.99 42041 1194 17,104,112,880,8,432,448,0,8,4.0,104364.0,104360.0,224008.0,twitter
12.12.12.99 11.11.11.99 1194 42041 17,104,1381,2157,1277,448,1709,0,1277,1.0,117285.0,117284.0,237258.0,twitter
9.9.9.83 10.10.10.83 41990 1194 17,112,1410,7404,1298,4342,3062,0,1298,31.0,2038468.0,2038437.0,2117159.0,tiktok
10.10.10.83 9.9.9.83 1194 41990 17,1410,1410,11280,0,5640,5640,0,0,1.0,10227.0,10226.0,16162.0,tiktok
9.9.9.84 10.10.10.84 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1185476.0,1185475.0,1189540.0,tiktok
10.10.10.84 9.9.9.84 41990 1194 17,121,1410,7413,1289,5640,1773,0,1289,3.0,147756.0,147753.0,154886.0,tiktok
9.9.9.85 10.10.10.85 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1048305.0,1048304.0,1076004.0,tiktok
10.10.10.85 9.9.9.85 41990 1194 17,68,1410,8649,1342,4298,4351,0,1342,32.0,926915.0,926883.0,1108565.0,tiktok
9.9.9.86 10.10.10.86 41990 1194 17,68,1410,4782,1342,3009,1773,0,1342,27.0,262210.0,262183.0,445404.0,tiktok
10.10.10.86 9.9.9.86 1194 41990 17,68,1410,8908,1342,4298,4610,0,1342,1.0,317628.0,317627.0,461717.0,tiktok
9.9.9.87 10.10.10.87 41990 1194 17,68,1410,8649,1342,4298,4351,0,1342,30.0,1234014.0,1233984.0,1360138.0,tiktok
10.10.10.87 9.9.9.87 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1279263.0,1279262.0,1296296.0,tiktok
9.9.9.88 10.10.10.88 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1577107.0,1577106.0,1582967.0,tiktok
10.10.10.88 9.9.9.88 41990 1194 17,121,1410,7413,1289,5640,1773,0,1289,4.0,286054.0,286050.0,316333.0,tiktok
9.9.9.89 10.10.10.89 1194 41990 17,149,1410,10019,1261,4379,5640,0,1261,1.0,5283061.0,5283060.0,5299504.0,tiktok
10.10.10.89 9.9.9.89 41990 1194 17,121,1410,7469,1289,4407,3062,0,1289,59.0,5208553.0,5208494.0,5353506.0,tiktok
9.9.9.90 10.10.10.90 41990 1194 17,68,1410,7360,1342,4298,3062,0,1342,19.0,1751974.0,1751955.0,1998388.0,tiktok
10.10.10.90 9.9.9.90 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,0.0,1797741.0,1797741.0,1846915.0,tiktok
9.9.9.91 10.10.10.91 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1062611.0,1062610.0,1090591.0,tiktok
10.10.10.91 9.9.9.91 41990 1194 17,121,1410,8702,1289,5640,3062,0,1289,82.0,282636.0,282554.0,329770.0,tiktok
9.9.9.92 10.10.10.92 41990 1194 17,104,544,1591,440,609,982,0,314,31.0,280127.0,280096.0,541923.0,tiktok
10.10.10.92 9.9.9.92 1194 41990 17,68,1381,3515,1313,396,3119,0,1277,1.0,375265.0,375264.0,531529.0,tiktok
9.9.9.93 10.10.10.93 41990 1194 17,68,1410,7360,1342,4298,3062,0,1342,5.0,2284954.0,2284949.0,2407968.0,tiktok
10.10.10.93 9.9.9.93 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,2331020.0,2331019.0,2349735.0,tiktok
9.9.9.94 10.10.10.94 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,2209882.0,2209881.0,2226501.0,tiktok
10.10.10.94 9.9.9.94 41990 1194 17,121,1410,6124,1289,5640,484,0,1289,4.0,120276.0,120272.0,203239.0,tiktok
9.9.9.95 10.10.10.95 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,2500464.0,2500463.0,2511422.0,tiktok
10.10.10.95 9.9.9.95 41990 1194 17,68,1410,4782,1342,4298,484,0,1342,36.0,1829929.0,1829893.0,2075674.0,tiktok
9.9.9.96 10.10.10.96 41990 1194 17,68,1410,8649,1342,4298,4351,0,1342,38.0,1522113.0,1522075.0,1644554.0,tiktok
10.10.10.96 9.9.9.96 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,1581305.0,1581304.0,1586979.0,tiktok
9.9.9.97 10.10.10.97 1194 41990 17,68,1410,9938,1342,4298,5640,0,1342,1.0,709346.0,709345.0,713420.0,tiktok
10.10.10.97 9.9.9.97 41990 1194 17,68,1410,4782,1342,4298,484,0,1342,21.0,618040.0,618019.0,848361.0,tiktok
15.15.15.89 16.16.16.89 47238 1194 17,104,621,1381,517,448,933,0,517,33.0,402033.0,402000.0,592037.0,youtube
16.16.16.89 15.15.15.89 1194 47238 17,104,1381,7602,1277,2978,4624,0,1277,5.0,89286.0,89281.0,105938.0,youtube
15.15.15.90 16.16.16.90 47238 1194 17,104,1330,3308,1226,2884,424,0,1218,6.0,74230.0,74224.0,78380.0,youtube
16.16.16.90 15.15.15.90 1194 47238 17,112,1330,6986,1218,1666,5320,0,1218,7.0,5879.0,5872.0,15955.0,youtube
15.15.15.91 16.16.16.91 47238 1194 17,104,1330,5051,1226,2884,2167,0,1218,15.0,182721.0,182706.0,238852.0,youtube
16.16.16.91 15.15.15.91 1194 47238 17,112,1330,6986,1218,1666,5320,0,1218,36.0,17090.0,17054.0,40555.0,youtube
15.15.15.92 16.16.16.92 47238 1194 17,104,1330,3850,1226,1674,2176,8,1218,39.0,1539647.0,1539608.0,1693527.0,youtube
16.16.16.92 15.15.15.92 1194 47238 17,92,1381,7060,1289,2864,4196,0,1277,61.0,1532045.0,1531984.0,1636070.0,youtube
15.15.15.93 16.16.16.93 47238 1194 17,104,1330,3825,1226,2884,941,0,1218,43.0,50713.0,50670.0,74779.0,youtube
16.16.16.93 15.15.15.93 1194 47238 17,112,1330,6986,1218,1666,5320,0,1218,35.0,16839.0,16804.0,39681.0,youtube
15.15.15.94 16.16.16.94 47238 1194 17,104,1330,3308,1226,2884,424,0,1218,16.0,81798.0,81782.0,101724.0,youtube
