Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Packet Length Range,First4Sum,Last4Sum,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT range,Flow Duration,Label
3.3.3.23 4.4.4.23 42190 1194 17,104,1332,3331,1228,1676,1655,0,1228,638.0,1372724.0,1372086.0,1598735.0,instagram
4.4.4.23 3.3.3.23 1194 42190 17,92,1312,2386,1220,1811,575,15,1200,0.0,1372570.0,1372570.0,1470735.0,instagram
3.3.3.24 4.4.4.24 42190 1194 17,104,1332,2156,1228,469,1687,0,1228,149.0,402034.0,401885.0,1273372.0,instagram
4.4.4.24 3.3.3.24 1194 42190 17,104,1312,2112,1208,449,1663,0,1200,0.0,419846.0,419846.0,1264252.0,instagram
3.3.3.25 4.4.4.25 42190 1194 17,104,1332,4751,1228,1879,2872,8,1228,293.0,57597.0,57304.0,159688.0,instagram
4.4.4.25 3.3.3.25 1194 42190 17,104,1312,2399,1208,1880,519,0,1200,0.0,76121.0,76121.0,97728.0,instagram
3.3.3.26 4.4.4.26 42190 1194 17,92,1332,3499,1240,1879,1620,0,1240,12.0,49527.0,49515.0,154100.0,instagram
4.4.4.26 3.3.3.26 1194 42190 17,104,1381,5823,1277,1880,3943,0,1277,0.0,36420.0,36420.0,79052.0,instagram
3.3.3.27 4.4.4.27 42190 1194 17,104,1332,4989,1228,1879,3110,0,1228,9.0,61925.0,61916.0,146038.0,instagram
4.4.4.27 3.3.3.27 1194 42190 17,104,1312,2398,1208,1879,519,0,1200,0.0,75252.0,75252.0,98047.0,instagram
3.3.3.28 4.4.4.28 42190 1194 17,104,1332,5330,1228,2880,2450,8,1228,11.0,83719.0,83708.0,195877.0,instagram
4.4.4.28 3.3.3.28 1194 42190 17,112,1312,3765,1200,1879,1886,41,1200,0.0,104643.0,104643.0,146189.0,instagram
3.3.3.29 4.4.4.29 42190 1194 17,104,1332,4988,1228,1879,3109,0,1228,22.0,75828.0,75806.0,189968.0,instagram
4.4.4.29 3.3.3.29 1194 42190 17,104,1381,5823,1277,1880,3943,0,1277,0.0,72124.0,72124.0,95668.0,instagram
3.3.3.30 4.4.4.30 42190 1194 17,104,1332,3367,1228,1488,1879,0,1220,1950.0,2120724.0,2118774.0,2430494.0,instagram
4.4.4.30 3.3.3.30 1194 42190 17,104,1312,4735,1208,2856,1879,0,1200,0.0,2175188.0,2175188.0,2386005.0,instagram
3.3.3.31 4.4.4.31 42190 1194 17,104,1332,4989,1228,1879,3110,0,1228,12.0,51870.0,51858.0,123423.0,instagram
4.4.4.31 3.3.3.31 1194 42190 17,104,1381,5822,1277,1879,3943,0,1277,0.0,33384.0,33384.0,80865.0,instagram
3.3.3.32 4.4.4.32 42190 1194 17,104,1332,3551,1228,1680,1871,8,1228,76.0,2043561.0,2043485.0,2371311.0,instagram
4.4.4.32 3.3.3.32 1194 42190 17,104,1312,2321,1208,1658,663,0,1200,0.0,2144106.0,2144106.0,2231827.0,instagram
3.3.3.33 4.4.4.33 42190 1194 17,104,1332,4988,1228,1879,3109,0,1228,26.0,81330.0,81304.0,173737.0,instagram
4.4.4.33 3.3.3.33 1194 42190 17,104,1381,5822,1277,1879,3943,0,1277,0.0,50374.0,50374.0,90646.0,instagram
15.15.15.1 16.16.16.1 44910 1194 17,92,113,757,21,389,368,0,21,1901.0,31766.0,29865.0,59083.0,youtube
16.16.16.1 15.15.15.1 1194 44910 17,1330,1381,10997,51,5473,5524,0,51,18.0,5946.0,5928.0,11272.0,youtube
15.15.15.2 16.16.16.2 44910 1194 17,104,1410,2734,1306,2279,455,0,795,12.0,48216.0,48204.0,64873.0,youtube
16.16.16.2 15.15.15.2 1194 44910 17,103,898,1928,795,1207,721,0,795,2.0,5598.0,5596.0,6319.0,youtube
15.15.15.3 16.16.16.3 44910 1194 17,104,1258,5705,1154,2160,3545,0,1154,12.0,858994.0,858982.0,1248761.0,youtube
16.16.16.3 15.15.15.3 1194 44910 17,104,143,891,39,425,466,0,39,2.0,407743.0,407741.0,647371.0,youtube
15.15.15.4 16.16.16.4 1194 44910 17,92,903,2026,811,443,1583,0,764,3.0,98008.0,98005.0,110268.0,youtube
16.16.16.4 15.15.15.4 44910 1194 17,104,1330,2707,1226,416,2291,0,1101,2.0,1058043.0,1058041.0,1673667.0,youtube
15.15.15.5 16.16.16.5 1194 44910 17,104,1330,4604,1226,510,4094,0,1226,22.0,1222186.0,1222164.0,2434946.0,youtube
16.16.16.5 15.15.15.5 44910 1194 17,92,1330,3324,1238,1638,1686,12,1226,11.0,1070307.0,1070296.0,1183442.0,youtube
15.15.15.6 16.16.16.6 1194 44910 17,92,407,1479,315,668,811,0,303,0.0,638151.0,638151.0,974136.0,youtube
16.16.16.6 15.15.15.6 44910 1194 17,104,1381,4960,1277,1865,3095,12,1185,27.0,1010772.0,1010745.0,1024439.0,youtube
15.15.15.7 16.16.16.7 44910 1194 17,112,1330,4550,1218,2884,1666,0,1218,31.0,225984.0,225953.0,296035.0,youtube
16.16.16.7 15.15.15.7 1194 44910 17,112,1330,4550,1218,4102,448,0,1218,23.0,264247.0,264224.0,359820.0,youtube
15.15.15.8 16.16.16.8 44910 1194 17,112,1330,3334,1218,1667,1667,0,1218,185.0,283905.0,283720.0,609179.0,youtube
16.16.16.8 15.15.15.8 1194 44910 17,112,1330,5771,1218,4102,1669,0,1218,18.0,119959.0,119941.0,281991.0,youtube
15.15.15.9 16.16.16.9 44910 1194 17,112,1330,3355,1218,471,2884,0,1218,11.0,860302.0,860291.0,2178810.0,youtube
16.16.16.9 15.15.15.9 1194 44910 17,104,1330,4585,1226,491,4094,0,1226,22.0,1439091.0,1439069.0,2548652.0,youtube
15.15.15.10 16.16.16.10 44910 1194 17,112,1330,3355,1218,1689,1666,0,1218,15.0,1699278.0,1699263.0,1971614.0,youtube
16.16.16.10 15.15.15.10 1194 44910 17,92,1330,5748,1238,2864,2884,0,1218,3.0,1548166.0,1548163.0,1590439.0,youtube
15.15.15.11 16.16.16.11 44910 1194 17,112,1330,3367,1218,1701,1666,0,1218,2.0,1643062.0,1643060.0,2271969.0,youtube
16.16.16.11 15.15.15.11 1194 44910 17,101,1330,5757,1229,1655,4102,0,1218,3.0,1140463.0,1140460.0,1146039.0,youtube
15.15.15.12 16.16.16.12 44910 1194 17,104,1330,5051,1226,2884,2167,0,1218,30.0,43666.0,43636.0,102738.0,youtube
16.16.16.12 15.15.15.12 1194 44910 17,104,1330,5760,1226,4102,1658,0,1226,4535.0,10952.0,6417.0,56765.0,youtube
15.15.15.13 16.16.16.13 44910 1194 17,104,1330,3825,1226,2884,941,0,1218,12.0,36675.0,36663.0,61140.0,youtube
16.16.16.13 15.15.15.13 1194 44910 17,112,1330,6986,1218,1666,5320,0,1218,45.0,16833.0,16788.0,46820.0,youtube
15.15.15.14 16.16.16.14 1194 44910 17,112,1330,5805,1218,1703,4102,0,1218,19.0,2095748.0,2095729.0,2128887.0,youtube
16.16.16.14 15.15.15.14 44910 1194 17,104,1330,3898,1226,2949,949,0,1218,28.0,1933204.0,1933176.0,1990093.0,youtube
15.15.15.15 16.16.16.15 44910 1194 17,104,1330,3825,1226,2884,941,0,1218,3.0,50622.0,50619.0,58587.0,youtube
16.16.16.15 15.15.15.15 1194 44910 17,112,1330,6986,1218,1666,5320,0,1218,23.0,9787.0,9764.0,28797.0,youtube
15.15.15.16 16.16.16.16 44910 1194 17,242,1410,10104,1168,5636,4468,0,1168,64.0,79757.0,79693.0,81472.0,youtube
16.16.16.16 15.15.15.16 1194 44910 17,102,1410,2720,1308,2303,417,0,822,2.0,68050.0,68048.0,79522.0,youtube
15.15.15.17 16.16.16.17 44910 1194 17,104,1330,3825,1226,2884,941,0,1218,5.0,52866.0,52861.0,56367.0,youtube
16.16.16.17 15.15.15.17 1194 44910 17,112,1330,6986,1218,1666,5320,0,1218,8.0,6374.0,6366.0,22375.0,youtube
15.15.15.18 16.16.16.18 44910 1194 17,104,1331,3921,1227,2972,949,0,1218,26.0,2382481.0,2382455.0,2447936.0,youtube
16.16.16.18 15.15.15.18 1194 44910 17,104,1330,4526,1226,432,4094,0,1226,23.0,2280422.0,2280399.0,2340084.0,youtube
15.15.15.19 16.16.16.19 44910 1194 17,104,1330,3825,1226,2884,941,0,1218,20.0,51477.0,51457.0,69758.0,youtube
16.16.16.19 15.15.15.19 1194 44910 17,112,1330,6986,1218,1666,5320,0,1218,2.0,11267.0,11265.0,23256.0,youtube
15.15.15.20 16.16.16.20 1194 44910 17,104,1330,4558,1226,1674,2884,0,1218,2.0,727197.0,727195.0,886864.0,youtube
16.16.16.20 15.15.15.20 44910 1194 17,104,1330,3853,1226,2904,949,0,1218,85.0,809720.0,809635.0,876006.0,youtube
1.1.1.1 2.2.2.1 48211 1194 17,104,1312,2783,1208,488,2295,0,1200,2049.0,636773.0,634724.0,2187723.0,facebook
2.2.2.1 1.1.1.1 1194 48211 17,104,1312,3684,1208,1827,1857,113,1208,21.0,1583064.0,1583043.0,2796062.0,facebook
1.1.1.2 2.2.2.2 48211 1194 17,104,1312,2072,1208,424,1648,0,1200,30.0,2296913.0,2296883.0,2462668.0,facebook
2.2.2.2 1.1.1.2 1194 48211 17,112,1312,3505,1200,1809,1696,0,1200,2.0,71590.0,71588.0,179294.0,facebook
1.1.1.3 2.2.2.3 1194 48211 17,112,1312,4705,1200,2848,1857,0,1200,23.0,3107587.0,3107564.0,3397265.0,facebook
2.2.2.3 1.1.1.3 48211 1194 17,112,1312,4328,1200,1480,2848,0,1200,29.0,1821563.0,1821534.0,1955782.0,facebook
1.1.1.4 2.2.2.4 1194 48211 17,92,1312,6872,1220,2828,4044,0,1220,13.0,2166079.0,2166066.0,3017354.0,facebook
2.2.2.4 1.1.1.4 48211 1194 17,112,1312,5012,1200,1648,3364,0,1200,29.0,288732.0,288703.0,1083144.0,facebook
1.1.1.5 2.2.2.5 1194 48211 17,104,1312,2265,1208,456,1809,0,1200,20.0,422370.0,422350.0,750703.0,facebook
2.2.2.5 1.1.1.5 48211 1194 17,104,1312,2092,1208,460,1632,0,1208,11.0,554374.0,554363.0,679617.0,facebook
1.1.1.6 2.2.2.6 48211 1194 17,104,1312,2081,1208,441,1640,0,1208,13.0,43996.0,43983.0,123353.0,facebook
2.2.2.6 1.1.1.6 1194 48211 17,104,1312,2297,1208,440,1857,0,1200,2.0,60300.0,60298.0,115022.0,facebook
1.1.1.7 2.2.2.7 48211 1194 17,104,1312,2482,1208,432,2050,0,1208,9.0,76641.0,76632.0,162340.0,facebook
2.2.2.7 1.1.1.7 1194 48211 17,104,1312,2296,1208,448,1848,0,1200,21.0,130084.0,130063.0,167735.0,facebook
1.1.1.8 2.2.2.8 48211 1194 17,104,1312,2103,1208,463,1640,0,1208,31.0,1446594.0,1446563.0,1576943.0,facebook
2.2.2.8 1.1.1.8 1194 48211 17,104,1312,2297,1208,448,1849,0,1200,20.0,129812.0,129792.0,205659.0,facebook
1.1.1.9 2.2.2.9 48211 1194 17,104,1312,2482,1208,432,2050,0,1208,65.0,162200.0,162135.0,269751.0,facebook
2.2.2.9 1.1.1.9 1194 48211 17,104,1312,2296,1208,1648,648,0,1200,15.0,228405.0,228390.0,270819.0,facebook
1.1.1.10 2.2.2.10 48211 1194 17,103,1312,2071,1209,432,1639,0,1209,11.0,57732.0,57721.0,119749.0,facebook
2.2.2.10 1.1.1.10 1194 48211 17,100,1312,2237,1212,448,1789,0,1212,2.0,115873.0,115871.0,121824.0,facebook
1.1.1.11 2.2.2.11 48211 1194 17,104,1312,2072,1208,432,1640,0,1208,4728.0,64604.0,59876.0,224378.0,facebook
2.2.2.11 1.1.1.11 1194 48211 17,104,1312,2296,1208,1648,648,0,1200,21.0,129432.0,129411.0,248554.0,facebook
1.1.1.12 2.2.2.12 48211 1194 17,92,112,792,20,392,400,0,20,12.0,59936.0,59924.0,138463.0,facebook
2.2.2.12 1.1.1.12 1194 48211 17,104,368,1152,264,464,688,0,264,3.0,79888.0,79885.0,207881.0,facebook
1.1.1.13 2.2.2.13 48211 1194 17,104,1312,2482,1208,432,2050,0,1208,3464.0,48194.0,44730.0,100552.0,facebook
2.2.2.13 1.1.1.13 1194 48211 17,104,1312,2297,1208,448,1849,0,1200,3.0,68438.0,68435.0,107920.0,facebook
1.1.1.14 2.2.2.14 1194 48211 17,104,1312,2312,1208,456,1856,0,1200,20.0,766245.0,766225.0,1082626.0,facebook
2.2.2.14 1.1.1.14 48211 1194 17,104,1312,2092,1208,460,1632,0,1208,30.0,871090.0,871060.0,924893.0,facebook
1.1.1.15 2.2.2.15 48211 1194 17,104,1312,2482,1208,432,2050,0,1208,30.0,60793.0,60763.0,121487.0,facebook
2.2.2.15 1.1.1.15 1194 48211 17,104,1312,2297,1208,448,1849,0,1200,13.0,108428.0,108415.0,118802.0,facebook
1.1.1.16 2.2.2.16 48211 1194 17,104,1312,2482,1208,1648,834,0,1200,30.0,36448.0,36418.0,72728.0,facebook
2.2.2.16 1.1.1.16 1194 48211 17,104,1312,2297,1208,448,1849,0,1200,21.0,35051.0,35030.0,63185.0,facebook
1.1.1.17 2.2.2.17 48211 1194 17,104,1331,3299,1227,1659,1640,0,1219,4892.0,208443.0,203551.0,346552.0,facebook
2.2.2.17 1.1.1.17 1194 48211 17,104,1312,2296,1208,440,1856,0,1200,2.0,120754.0,120752.0,236968.0,facebook
11.11.11.1 12.12.12.1 5353 5353 17,100,121,905,21,463,442,0,21,18.0,250941.0,250923.0,535912.0,twitter
11.11.11.1 12.12.12.1 57545 1194 17,82,1344,3589,1262,633,2956,0,1254,8.0,32737.0,32729.0,89606.0,twitter
12.12.12.1 11.11.11.1 1194 57545 17,90,1144,3482,1054,2472,1010,0,1054,4.0,45629.0,45625.0,80775.0,twitter
11.11.11.2 12.12.12.2 57545 1194 17,104,112,864,8,448,416,0,8,2.0,71972.0,71970.0,100077.0,twitter
12.12.12.2 11.11.11.2 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,4.0,95891.0,95887.0,114139.0,twitter
11.11.11.3 12.12.12.3 57545 1194 17,104,621,1381,517,448,933,0,517,2.0,61671.0,61669.0,80618.0,twitter
12.12.12.3 11.11.11.3 1194 57545 17,104,1381,2149,1277,448,1701,0,1277,21.0,80388.0,80367.0,102698.0,twitter
11.11.11.4 12.12.12.4 57545 1194 17,104,621,1381,517,448,933,0,517,1.0,73527.0,73526.0,89036.0,twitter
12.12.12.4 11.11.11.4 1194 57545 17,104,1381,2149,1277,448,1701,0,1277,33.0,69108.0,69075.0,103159.0,twitter
11.11.11.5 12.12.12.5 1194 57545 17,104,833,1593,729,1169,424,0,721,2.0,99692.0,99690.0,257789.0,twitter
12.12.12.5 11.11.11.5 57545 1194 17,104,142,902,38,448,454,0,38,1.0,65456.0,65455.0,91924.0,twitter
11.11.11.6 12.12.12.6 57545 1194 17,104,112,864,8,448,416,0,8,1.0,68554.0,68553.0,81174.0,twitter
12.12.12.6 11.11.11.6 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,3.0,107756.0,107753.0,122170.0,twitter
11.11.11.7 12.12.12.7 57545 1194 17,104,112,864,8,448,416,0,8,2.0,81465.0,81463.0,89263.0,twitter
12.12.12.7 11.11.11.7 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,3.0,80664.0,80661.0,95922.0,twitter
11.11.11.8 12.12.12.8 57545 1194 17,104,112,864,8,448,416,0,8,12.0,74957.0,74945.0,88660.0,twitter
12.12.12.8 11.11.11.8 1194 57545 17,104,1381,3603,1277,448,3155,0,1277,3.0,137532.0,137529.0,152476.0,twitter
11.11.11.9 12.12.12.9 57545 1194 17,104,621,1898,517,432,1466,0,509,33.0,78781.0,78748.0,99418.0,twitter
12.12.12.9 11.11.11.9 1194 57545 17,104,1381,3418,1277,448,2970,0,1277,3.0,79951.0,79948.0,105012.0,twitter
11.11.11.10 12.12.12.10 57545 1194 17,104,621,1421,517,941,480,0,517,13.0,93364.0,93351.0,207058.0,twitter
12.12.12.10 11.11.11.10 1194 57545 17,104,1381,6166,1277,2978,3188,0,1277,23.0,124832.0,124809.0,220298.0,twitter
11.11.11.11 12.12.12.11 1194 57545 17,68,1381,2105,1313,404,1701,0,1277,32.0,264761.0,264729.0,366505.0,twitter
12.12.12.11 11.11.11.11 57545 1194 17,104,112,864,8,448,416,0,8,1.0,65872.0,65871.0,78881.0,twitter
11.11.11.12 12.12.12.12 57545 1194 17,104,112,864,8,448,416,0,8,1.0,80173.0,80172.0,96129.0,twitter
