Flow ID,Min Packet Length,Max Packet Length,Packet Length Total,Min differential Packet Length,Max differential Packet Length,IAT min,IAT max,IAT Range,Flow Duration,Packet Length Range,First4Sum,Last4Sum,Label
3.3.3.24 4.4.4.24 42190 1194 17,104,1332,2156,0,1228,149,402034,401885,1273372000,1228,469,1687,multimedia_apps
4.4.4.24 3.3.3.24 1194 42190 17,104,1312,2112,0,1200,0,419846,419846,1264252000,1208,449,1663,multimedia_apps
3.3.3.25 4.4.4.25 42190 1194 17,104,1332,4751,8,1228,293,57597,57304,159688000,1228,1879,2872,multimedia_apps
4.4.4.25 3.3.3.25 1194 42190 17,104,1312,2399,0,1200,0,76121,76121,97728000,1208,1880,519,multimedia_apps
3.3.3.26 4.4.4.26 42190 1194 17,92,1332,3499,0,1240,12,49527,49515,154100000,1240,1879,1620,multimedia_apps
4.4.4.26 3.3.3.26 1194 42190 17,104,1381,5823,0,1277,0,36420,36420,79052000,1277,1880,3943,multimedia_apps
3.3.3.27 4.4.4.27 42190 1194 17,104,1332,4989,0,1228,9,61925,61916,146038000,1228,1879,3110,multimedia_apps
4.4.4.27 3.3.3.27 1194 42190 17,104,1312,2398,0,1200,0,75252,75252,98047000,1208,1879,519,multimedia_apps
3.3.3.28 4.4.4.28 42190 1194 17,104,1332,5330,8,1228,11,83719,83708,195877000,1228,2880,2450,multimedia_apps
4.4.4.28 3.3.3.28 1194 42190 17,112,1312,3765,41,1200,0,104643,104643,146189000,1200,1879,1886,multimedia_apps
3.3.3.29 4.4.4.29 42190 1194 17,104,1332,4988,0,1228,22,75828,75806,189968000,1228,1879,3109,multimedia_apps
4.4.4.29 3.3.3.29 1194 42190 17,104,1381,5823,0,1277,0,72124,72124,95668000,1277,1880,3943,multimedia_apps
3.3.3.30 4.4.4.30 42190 1194 17,104,1332,3367,0,1220,1950,2120724,2118774,2430494000,1228,1488,1879,multimedia_apps
4.4.4.30 3.3.3.30 1194 42190 17,104,1312,4735,0,1200,0,2175188,2175188,2386005000,1208,2856,1879,multimedia_apps
3.3.3.31 4.4.4.31 42190 1194 17,104,1332,4989,0,1228,12,51870,51858,123423000,1228,1879,3110,multimedia_apps
4.4.4.31 3.3.3.31 1194 42190 17,104,1381,5822,0,1277,0,33384,33384,80865000,1277,1879,3943,multimedia_apps
3.3.3.32 4.4.4.32 42190 1194 17,104,1332,3551,8,1228,76,2043561,2043485,2371311000,1228,1680,1871,multimedia_apps
4.4.4.32 3.3.3.32 1194 42190 17,104,1312,2321,0,1200,0,2144106,2144106,2231827000,1208,1658,663,multimedia_apps
3.3.3.33 4.4.4.33 42190 1194 17,104,1332,4988,0,1228,26,81330,81304,173737000,1228,1879,3109,multimedia_apps
4.4.4.33 3.3.3.33 1194 42190 17,104,1381,5822,0,1277,0,50374,50374,90646000,1277,1879,3943,multimedia_apps
15.15.15.1 16.16.16.1 44910 1194 17,92,113,757,0,21,1901,31766,29865,59083000,21,389,368,multimedia_apps
16.16.16.1 15.15.15.1 1194 44910 17,1330,1381,10997,0,51,18,5946,5928,11272000,51,5473,5524,multimedia_apps
15.15.15.2 16.16.16.2 44910 1194 17,104,1410,2734,0,795,12,48216,48204,64873000,1306,2279,455,multimedia_apps
16.16.16.2 15.15.15.2 1194 44910 17,103,898,1928,0,795,2,5598,5596,6319000,795,1207,721,multimedia_apps
15.15.15.3 16.16.16.3 44910 1194 17,104,1258,5705,0,1154,12,858994,858982,1248761000,1154,2160,3545,multimedia_apps
16.16.16.3 15.15.15.3 1194 44910 17,104,143,891,0,39,2,407743,407741,647371000,39,425,466,multimedia_apps
15.15.15.4 16.16.16.4 1194 44910 17,92,903,2026,0,764,3,98008,98005,110268000,811,443,1583,multimedia_apps
16.16.16.4 15.15.15.4 44910 1194 17,104,1330,2707,0,1101,2,1058043,1058041,1673667000,1226,416,2291,multimedia_apps
15.15.15.5 16.16.16.5 1194 44910 17,104,1330,4604,0,1226,22,1222186,1222164,2434946000,1226,510,4094,multimedia_apps
